login,label,discovery_method,marker_confidence,pre_prs_opened,pre_prs_merged,pre_prs_closed_unmerged,pre_opened_prs_per_month,pre_merged_prs_per_month,pre_merge_rate,pre_median_hours_to_merge,pre_mean_hours_to_merge,pre_mean_additions,pre_mean_deletions,pre_mean_lines_changed,pre_mean_changed_files,pre_mean_comments,pre_mean_review_comments,pre_mean_commits_per_pr,post_prs_opened,post_prs_merged,post_prs_closed_unmerged,post_opened_prs_per_month,post_merged_prs_per_month,post_merge_rate,post_median_hours_to_merge,post_mean_hours_to_merge,post_mean_additions,post_mean_deletions,post_mean_lines_changed,post_mean_changed_files,post_mean_comments,post_mean_review_comments,post_mean_commits_per_pr,delta_prs_opened,delta_prs_merged,delta_prs_closed_unmerged,delta_opened_prs_per_month,delta_merged_prs_per_month,delta_merge_rate,delta_median_hours_to_merge,delta_mean_hours_to_merge,delta_mean_additions,delta_mean_deletions,delta_mean_lines_changed,delta_mean_changed_files,delta_mean_comments,delta_mean_review_comments,delta_mean_commits_per_pr,n_prs
risingtiger,1,code_search,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
GowayLee,1,code_search,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,2.0,0.353893,0.247725,0.7,0.046111,2.787024,672.5,100.8,773.3,15.1,0.3,0.0,3.2,10.0,7.0,2.0,0.353893,0.247725,0.7,0.046111,2.787024,672.5,100.8,773.3,15.1,0.3,0.0,3.2,10
mouloud240,1,code_search,low,5.0,3.0,2.0,0.208333,0.125,0.6,0.014444,0.0725,82.2,44.4,126.6,7.0,0.0,0.0,1.6,202.0,193.0,8.0,7.14863,6.830127,0.955446,0.003056,8.403244,946.346535,80.886139,1027.232673,15.143564,0.084158,0.811881,2.831683,197.0,190.0,6.0,6.940297,6.705127,0.355446,-0.011388,8.330744,864.146535,36.486139,900.632673,8.143564,0.084158,0.811881,1.231683,207
JS1240,1,code_search,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,49.0,17.0,2.335691,1.734074,0.742424,0.0275,13.290215,1220.30303,1672.590909,2892.893939,13.712121,1.166667,3.242424,1.348485,66.0,49.0,17.0,2.335691,1.734074,0.742424,0.0275,13.290215,1220.30303,1672.590909,2892.893939,13.712121,1.166667,3.242424,1.348485,66
lgd-matlab,1,code_search,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.070779,0.0,0.0,0.0,0.0,300.5,7.5,308.0,4.0,0.0,0.0,3.0,2.0,0.0,1.0,0.070779,0.0,0.0,0.0,0.0,300.5,7.5,308.0,4.0,0.0,0.0,3.0,2
Dominion083,1,code_search,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ralla0405,1,code_search,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,1.0,0.389282,0.318503,0.818182,0.003333,0.021173,306.818182,191.272727,498.090909,16.818182,0.636364,0.0,10.272727,11.0,9.0,1.0,0.389282,0.318503,0.818182,0.003333,0.021173,306.818182,191.272727,498.090909,16.818182,0.636364,0.0,10.272727,11
Sawa-E,1,code_search,low,2.0,2.0,0.0,0.083333,0.083333,1.0,1.941111,1.941111,28.5,28.0,56.5,1.0,0.0,0.0,1.5,2.0,2.0,0.0,0.070779,0.070779,1.0,0.018889,0.018889,93469.5,17.0,93486.5,188.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.012554,-0.012554,0.0,-1.922222,-1.922222,93441.0,-11.0,93430.0,187.0,0.0,0.0,-0.5,4
johnwinston,1,commit_search_coauthor,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,45.0,16.0,2.264912,1.592517,0.703125,8.149722,10.189568,269.25,14.15625,283.40625,8.390625,1.125,0.140625,7.84375,64.0,45.0,16.0,2.264912,1.592517,0.703125,8.149722,10.189568,269.25,14.15625,283.40625,8.390625,1.125,0.140625,7.84375,64
lmnop-95,1,commit_search_coauthor,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,73.0,1.0,2.618805,2.583416,0.986486,1.071389,2.653527,1515.959459,82.675676,1598.635135,30.986486,2.054054,21.851351,14.986486,74.0,73.0,1.0,2.618805,2.583416,0.986486,1.071389,2.653527,1515.959459,82.675676,1598.635135,30.986486,2.054054,21.851351,14.986486,74
awmloveland,1,commit_search_coauthor,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,109.0,1.0,3.892818,3.857429,0.990909,0.008889,1.812819,955.518182,519.845455,1475.363636,9.663636,0.027273,0.0,8.118182,110.0,109.0,1.0,3.892818,3.857429,0.990909,0.008889,1.812819,955.518182,519.845455,1475.363636,9.663636,0.027273,0.0,8.118182,110
yAtomtom,1,commit_search_coauthor,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tomobou,1,commit_search_coauthor,high,1.0,1.0,0.0,0.041667,0.041667,1.0,0.005833,0.005833,16959.0,23537.0,40496.0,2.0,0.0,0.0,1.0,61.0,53.0,8.0,2.158745,1.875631,0.868852,0.075556,1.953674,1668.786885,1970.852459,3639.639344,5.245902,0.409836,0.409836,2.590164,60.0,52.0,8.0,2.117078,1.833964,-0.131148,0.069723,1.947841,-15290.213115,-21566.147541,-36856.360656,3.245902,0.409836,0.409836,1.590164,62
messi18122022,1,commit_search_coauthor,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,67.0,4.0,2.548027,2.37108,0.930556,0.142778,1.895821,101.319444,18.944444,120.263889,2.777778,0.652778,0.0,2.972222,72.0,67.0,4.0,2.548027,2.37108,0.930556,0.142778,1.895821,101.319444,18.944444,120.263889,2.777778,0.652778,0.0,2.972222,72
imwra,1,commit_search_coauthor,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,35.0,2.0,1.380181,1.238624,0.897436,0.003056,2.956381,3349.871795,197.102564,3546.974359,29.641026,0.153846,0.0,10.487179,39.0,35.0,2.0,1.380181,1.238624,0.897436,0.003056,2.956381,3349.871795,197.102564,3546.974359,29.641026,0.153846,0.0,10.487179,39
marvymarv79,1,commit_search_coauthor,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,1.167845,1.167845,1.0,0.006944,0.045488,556.818182,111.818182,668.636364,6.878788,0.969697,0.0,1.121212,33.0,33.0,0.0,1.167845,1.167845,1.0,0.006944,0.045488,556.818182,111.818182,668.636364,6.878788,0.969697,0.0,1.121212,33
