login,discovery_method,first_marker_date,marker_type,marker_confidence
kimeisele,commit_search_aider,2026-03-27T12:51:31.000+01:00,aider_coauthor: aider email (2026+),high
srbryers,commit_search_aider,2026-03-01T21:10:26.000-05:00,aider_coauthor: aider email (2026+),high
lobashin,commit_search_aider,2026-01-29T00:12:37.000+07:00,aider_coauthor: aider email (2026+),high
chrishohoho,commit_search_aider,2026-03-11T15:12:24.000-07:00,aider_coauthor: aider email (2026+),high
monkeycs60,commit_search_aider,2026-02-20T11:41:22.000+01:00,aider_coauthor: aider email (2026+),high
shaply,commit_search_aider,2026-03-11T14:19:55.000-04:00,aider_coauthor: aider email (2026+),high
timvaillancourt,commit_search_aider,2026-03-27T16:56:54.000+01:00,aider_coauthor: aider email (2026+),high
gipert,commit_search_aider,2026-02-17T12:06:45.000+01:00,aider_coauthor: aider email (2026+),high
jamesmurdza,commit_search_aider,2026-03-25T19:21:35.000Z,aider_coauthor: aider email (2026+),high
jamditis,commit_search_aider,2026-02-20T11:22:55.000-05:00,aider_coauthor: aider email (2026+),high
TraderSamwise,commit_search_aider,2026-03-15T23:30:00.000+08:00,aider_coauthor: aider email (2026+),high
LoganBarnett,commit_search_aider,2026-03-25T20:11:33.000-07:00,aider_coauthor: aider email (2026+),high
petems,commit_search_aider,2026-02-27T02:30:49.000Z,aider_coauthor: aider email (2026+),high
IgorGanapolsky,commit_search_aider,2026-03-24T20:18:57.000Z,aider_coauthor: aider email (2026+),high
AhmedTMM,commit_search_aider,2026-02-17T22:16:39.000-08:00,aider_coauthor: aider email (2026+),high
robinmordasiewicz,commit_search_aider,2026-03-06T03:13:51.000-05:00,aider_coauthor: aider email (2026+),high
thiswillbeyourgithub,commit_search_aider,2026-01-13T00:37:22.000+01:00,aider_coauthor: aider email (2026+),high
mihakralj,commit_search_aider,2026-01-18T19:02:03.000-08:00,aider_coauthor: aider email (2026+),high
hummer98,commit_search_aider,2026-03-16T19:25:52.000+09:00,aider_coauthor: aider email (2026+),high
Chetic,commit_search_aider,2026-01-13T08:43:20.000+01:00,aider_coauthor: aider email (2026+),high
jpleva91,commit_search_aider,2026-03-27T20:52:18.000Z,aider_coauthor: aider email (2026+),high
kevinten10,commit_search_aider,2026-03-16T20:04:17.000+08:00,aider_coauthor: aider email (2026+),high
djkelleher,commit_search_aider,2026-03-26T20:03:58.000-04:00,aider_coauthor: aider email (2026+),high
jlwestsr,commit_search_aider,2026-02-03T03:13:54.000-06:00,aider_coauthor: aider email (2026+),high
meganerd,commit_search_aider,2026-03-22T23:00:00.000-06:00,aider_coauthor: aider email (2026+),high
ShunsukeHayashi,commit_search_aider,2026-03-27T09:08:27.000+09:00,aider_coauthor: aider email (2026+),high
LIghtJUNction,commit_search_aider,2026-02-06T02:46:16.000+08:00,aider_coauthor: aider email (2026+),high
Dicklesworthstone,commit_search_aider,2026-02-09T13:32:37.000-05:00,aider_coauthor: aider email (2026+),high
javdl,commit_search_aider,2026-03-19T10:19:18.000Z,aider_coauthor: aider email (2026+),high
robotoer,commit_search_aider,2026-02-28T21:51:18.000-08:00,aider_coauthor: aider email (2026+),high
kunmura,commit_search_aider,2026-03-24T22:41:36.000+09:00,aider_coauthor: aider email (2026+),high
jarod-rosenthal,commit_search_aider,2026-02-09T20:08:28.000-05:00,aider_coauthor: aider email (2026+),high
sheeeng,commit_search_aider,2026-01-24T20:46:43.000+01:00,aider_coauthor: aider email (2026+),high
jhlee0409,commit_search_aider,2026-03-26T21:47:18.000+09:00,aider_coauthor: aider email (2026+),high
mcp-tool-shop,commit_search_aider,2026-02-15T18:25:01.000-05:00,aider_coauthor: aider email (2026+),high
Slach,commit_search_aider,2026-01-26T22:57:37.000+04:00,aider_coauthor: aider email (2026+),high
AshtonSun,commit_search_aider,2026-03-19T19:45:24.000+08:00,aider_coauthor: aider email (2026+),high
paul-ruth,commit_search_aider,2026-03-05T20:33:44.000-05:00,aider_coauthor: aider email (2026+),high
viamin,commit_search_aider,2026-03-28T11:01:48.000-07:00,aider_coauthor: aider email (2026+),high
lefthand67,commit_search_aider,2026-02-08T19:12:01.000+05:00,aider_coauthor: aider email (2026+),high
alisonjenkins,commit_search_aider,2026-03-19T06:19:58.000Z,aider_coauthor: aider email (2026+),high
junyjeon,commit_search_aider,2026-03-06T12:26:06.000+09:00,aider_coauthor: aider email (2026+),high
Amiad5298,commit_search_aider,2026-02-15T09:32:35.000+02:00,aider_coauthor: aider email (2026+),high
rohoswagger,commit_search_aider,2026-03-16T12:10:51.000-10:00,aider_coauthor: aider email (2026+),high
recode-at,commit_search_aider,2026-02-28T21:43:01.000+02:00,aider_coauthor: aider email (2026+),high
7hinkDifferent,commit_search_aider,2026-02-23T15:10:10.000+08:00,aider_coauthor: aider email (2026+),high
Chemnm,commit_search_aider,2026-03-18T22:38:39.000Z,aider_coauthor: aider email (2026+),high
CodeMonkeyCybersecurity,commit_search_aider,2026-03-14T12:56:15.000Z,aider_coauthor: aider email (2026+),high
mechemsi,commit_search_aider,2026-03-25T15:25:05.000+02:00,aider_coauthor: aider email (2026+),high
jcwearn,commit_search_aider,2026-02-17T22:00:05.000-05:00,aider_coauthor: aider email (2026+),high
robennals,commit_search_aider,2026-03-01T08:03:46.000-08:00,aider_coauthor: aider email (2026+),high
