login,label,discovery_method,marker_confidence,pre_commit_count,pre_mean_message_length,pre_active_weeks,pre_repos_touched,pre_mean_commits_per_active_week,pre_frac_multiline,pre_frac_conventional,pre_frac_mentions_test,pre_frac_has_bullets,pre_mean_inter_commit_hours,pre_frac_burst_commits,pre_sampled_test_cowrite_rate,pre_file_sample_count,pre_mean_pr_body_length,pre_frac_pr_has_body,post_commit_count,post_mean_message_length,post_active_weeks,post_repos_touched,post_mean_commits_per_active_week,post_frac_multiline,post_frac_conventional,post_frac_mentions_test,post_frac_has_bullets,post_mean_inter_commit_hours,post_frac_burst_commits,post_sampled_test_cowrite_rate,post_file_sample_count,post_mean_pr_body_length,post_frac_pr_has_body,delta_commit_count,delta_mean_message_length,delta_active_weeks,delta_repos_touched,delta_mean_commits_per_active_week,delta_frac_multiline,delta_frac_conventional,delta_frac_mentions_test,delta_frac_has_bullets,delta_mean_inter_commit_hours,delta_frac_burst_commits,delta_sampled_test_cowrite_rate,delta_file_sample_count,delta_mean_pr_body_length,delta_frac_pr_has_body
risingtiger,1,code_search,low,14,20.5,6,3,2.33,0.0,0.0,0.0,0.0,590.5,0.538,0.0,2,0.0,0.0,211,64.07,21,4,10.05,0.005,0.9,0.0,0.0,49.76,0.738,0.026,40,1566.0,1.0,197,43.57,15,1,7.72,0.005,0.9,0.0,0.0,-540.74,0.2,0.026,38,1566.0,1.0
GowayLee,1,code_search,low,11,32.18,2,1,5.5,0.091,0.364,0.0,0.0,113.47,0.7,0.0,2,3.0,0.0,111,31.51,10,3,11.1,0.099,0.676,0.0,0.0,108.47,0.418,0.091,22,54.6,0.5,100,-0.67,8,2,5.6,0.008,0.312,0.0,0.0,-5.0,-0.282,0.091,20,51.6,0.5
mouloud240,1,code_search,low,17,25.82,2,3,8.5,0.118,0.0,0.0,0.0,19.93,0.562,0.0,2,0.0,0.0,67,30.63,22,5,3.05,0.164,0.0,0.075,0.0,267.25,0.576,0.5,13,25.78,0.222,50,4.81,20,2,-5.45,0.046,0.0,0.075,0.0,247.32,0.014,0.5,11,25.78,0.222
JS1240,1,code_search,low,52,43.13,3,2,17.33,0.0,0.0,0.0,0.0,8.14,0.804,0.5,9,0.0,0.0,100,68.26,8,4,12.5,0.34,0.07,0.03,0.0,85.07,0.788,0.222,20,815.82,1.0,48,25.13,5,2,-4.83,0.34,0.07,0.03,0.0,76.93,-0.016,-0.278,11,815.82,1.0
lgd-matlab,1,code_search,low,10,17.6,3,1,3.33,0.0,0.0,0.0,0.0,277.12,0.778,0.0,2,0.0,0.0,203,15.06,5,3,40.6,0.0,0.0,0.0,0.0,66.7,0.965,0.0,42,0.0,0.0,193,-2.54,2,2,37.27,0.0,0.0,0.0,0.0,-210.42,0.187,0.0,40,0.0,0.0
Dominion083,1,code_search,low,76,176.05,5,3,15.2,0.974,0.0,0.026,0.868,11.36,0.747,0.0,17,0.0,0.0,14,72.29,3,2,4.67,0.571,0.0,0.571,0.071,402.07,0.615,0.0,2,0.0,0.0,-62,-103.76,-2,-1,-10.53,-0.403,0.0,0.545,-0.797,390.71,-0.132,0.0,-15,0.0,0.0
ralla0405,1,code_search,low,51,45.59,13,3,3.92,0.824,0.0,0.176,0.0,94.7,0.32,0.143,9,0.0,0.0,24,16.29,4,2,6.0,0.0,0.0,0.0,0.0,526.75,0.739,0.0,5,0.0,0.0,-27,-29.3,-9,-1,2.08,-0.824,0.0,-0.176,0.0,432.05,0.419,-0.143,-4,0.0,0.0
Sawa-E,1,code_search,low,189,32.58,19,1,9.95,0.0,0.0,0.0,0.0,19.91,0.707,0.0,38,91.67,0.667,67,37.22,11,5,6.09,0.0,0.06,0.0,0.0,282.21,0.742,0.0,12,3140.5,1.0,-122,4.64,-8,4,-3.86,0.0,0.06,0.0,0.0,262.3,0.035,0.0,-26,3048.83,0.333
johnwinston,1,commit_search_coauthor,high,90,225.47,7,2,12.86,0.767,0.0,0.0,0.4,62.58,0.719,0.125,19,0.0,0.0,34,349.53,2,1,17.0,1.0,0.0,0.0,0.147,0.86,0.939,0.0,5,0.0,0.0,-56,124.06,-5,-1,4.14,0.233,0.0,0.0,-0.253,-61.72,0.22,-0.125,-14,0.0,0.0
lmnop-95,1,commit_search_coauthor,high,31,371.16,5,1,6.2,0.839,0.645,0.387,0.839,21.57,0.133,1.0,8,3996.29,1.0,52,269.87,3,5,17.33,0.885,0.865,0.192,0.538,6.08,0.569,0.6,7,3720.14,1.0,21,-101.29,-2,4,11.13,0.046,0.22,-0.195,-0.301,-15.49,0.436,-0.4,-1,-276.15,0.0
