login,discovery_method,first_marker_date,marker_type
ivantsonevsky,gh_archive_sample,,
texttilexs,gh_archive_sample,,
Dnj24,gh_archive_sample,,
Ihan0316,gh_archive_sample,,
stukusva,gh_archive_sample,,
BlockNG,gh_archive_sample,,
j67001,gh_archive_sample,,
rathodsunanda,gh_archive_sample,,
AndrobaL,gh_archive_sample,,
Eric-Guo,gh_archive_sample,,
piny940,gh_archive_sample,,
aref2232,gh_archive_sample,,
Mohana16-N,gh_archive_sample,,
capigiba,gh_archive_sample,,
Jackygao2,gh_archive_sample,,
linhnvph36809,gh_archive_sample,,
nguoisuutam1985,gh_archive_sample,,
ignissak,gh_archive_sample,,
Sumon0096,gh_archive_sample,,
sacredbanana,gh_archive_sample,,
iitech385,gh_archive_sample,,
chaeyn,gh_archive_sample,,
2413181638,gh_archive_sample,,
NotYuSheng,gh_archive_sample,,
pavlo-kh,gh_archive_sample,,
daenekint,gh_archive_sample,,
CauaSilva28,gh_archive_sample,,
ManishaxKumari,gh_archive_sample,,
koot0303,gh_archive_sample,,
ghtempsensor,gh_archive_sample,,
grames02,gh_archive_sample,,
Mafaz5128,gh_archive_sample,,
deezertidal,gh_archive_sample,,
powersagitar,gh_archive_sample,,
Footballotter,gh_archive_sample,,
Darklte732,gh_archive_sample,,
ayonghan,gh_archive_sample,,
Vera-Firefly,gh_archive_sample,,
Bored-afk,gh_archive_sample,,
scouten-adobe,gh_archive_sample,,
CodeSailor411,gh_archive_sample,,
EdilbertoC,gh_archive_sample,,
shreeshyam-1,gh_archive_sample,,
alexTvirus,gh_archive_sample,,
MoWael2022,gh_archive_sample,,
Lande21,gh_archive_sample,,
runtian-zhou,gh_archive_sample,,
bi-machine,gh_archive_sample,,
maplitegeosdi,gh_archive_sample,,
CocoaPodsBot,gh_archive_sample,,
