country,year,quarter,pct_ai_users,pct_ai_users_n
AE,2022,2022-Q4,0.0,0
AE,2023,2023-Q3,0.0,0
AE,2024,2024-Q1,,0
AE,2024,2024-Q3,,0
AE,2024,2024-Q4,,0
AR,2022,2022-Q4,0.0,0
AR,2023,2023-Q1,0.0,0
AR,2023,2023-Q2,0.0,0
AR,2023,2023-Q3,0.0,0
AR,2024,2024-Q1,0.10566764705882352,34
AR,2024,2024-Q2,0.10566764705882352,34
AR,2024,2024-Q3,0.10566764705882352,34
AT,2022,2022-Q4,0.0,0
AT,2023,2023-Q1,0.0,0
AT,2023,2023-Q3,0.0,0
AT,2024,2024-Q1,0.08788125000000001,48
AT,2024,2024-Q2,0.08788125000000001,48
AT,2024,2024-Q3,0.08788125000000001,48
AT,2024,2024-Q4,0.08788125000000001,48
AU,2022,2022-Q4,0.0,0
AU,2023,2023-Q1,0.0,0
AU,2023,2023-Q2,0.0,0
AU,2023,2023-Q3,0.0,0
AU,2023,2023-Q4,0.0,0
AU,2024,2024-Q1,0.08529838709677419,62
AU,2024,2024-Q2,0.08529838709677419,62
AU,2024,2024-Q3,0.08529838709677419,62
BD,2022,2022-Q4,0.0,0
BD,2023,2023-Q1,0.0,0
BD,2023,2023-Q2,0.0,0
BD,2023,2023-Q3,0.0,0
BD,2023,2023-Q4,0.0,0
BD,2024,2024-Q1,0.06583893805309735,113
BD,2024,2024-Q2,0.06583893805309735,113
BD,2024,2024-Q3,0.06583893805309735,113
BD,2024,2024-Q4,0.06583893805309735,113
BE,2022,2022-Q4,0.0,0
BE,2023,2023-Q1,0.0,0
BE,2023,2023-Q2,0.0,0
BE,2023,2023-Q3,0.0,0
BE,2023,2023-Q4,0.0,0
BE,2024,2024-Q1,0.10201818181818183,22
BE,2024,2024-Q2,0.10201818181818183,22
BE,2024,2024-Q4,0.10201818181818183,22
BR,2022,2022-Q4,0.0,0
BR,2023,2023-Q1,0.0,0
BR,2023,2023-Q2,0.0,0
BR,2023,2023-Q3,0.0,0
BR,2023,2023-Q4,0.0,0
BR,2024,2024-Q1,0.07313287197231834,289
BR,2024,2024-Q2,0.07313287197231834,289
BR,2024,2024-Q3,0.07313287197231834,289
BR,2024,2024-Q4,0.07313287197231834,289
CA,2022,2022-Q4,0.0,0
CA,2023,2023-Q1,0.0,0
CA,2023,2023-Q2,0.0,0
CA,2023,2023-Q3,0.0,0
CA,2023,2023-Q4,0.0,0
CA,2024,2024-Q1,0.0942875,128
CA,2024,2024-Q4,0.0942875,128
CH,2022,2022-Q4,0.0,0
CH,2023,2023-Q1,0.0,0
CH,2023,2023-Q2,0.0,0
CH,2023,2023-Q3,0.0,0
CH,2023,2023-Q4,0.0,0
CH,2024,2024-Q1,0.09225142857142858,70
CH,2024,2024-Q2,0.09225142857142858,70
CH,2024,2024-Q3,0.09225142857142858,70
CH,2024,2024-Q4,0.09225142857142858,70
CL,2024,2024-Q1,0.09491764705882352,17
CN,2022,2022-Q4,0.0,0
CN,2023,2023-Q1,0.0,0
CN,2023,2023-Q2,0.0,0
CN,2023,2023-Q3,0.0,0
CN,2023,2023-Q4,0.0,0
CN,2024,2024-Q1,0.07778151260504201,238
CN,2024,2024-Q2,0.07778151260504201,238
CN,2024,2024-Q3,0.07778151260504201,238
CN,2024,2024-Q4,0.07778151260504201,238
CO,2023,2023-Q1,0.0,0
CO,2023,2023-Q3,0.0,0
CO,2023,2023-Q4,0.0,0
CO,2024,2024-Q2,0.07836666666666667,18
CZ,2022,2022-Q4,0.0,0
CZ,2023,2023-Q1,0.0,0
CZ,2023,2023-Q2,0.0,0
CZ,2023,2023-Q3,0.0,0
CZ,2023,2023-Q4,0.0,0
CZ,2024,2024-Q1,0.082,39
CZ,2024,2024-Q3,0.082,39
CZ,2024,2024-Q4,0.082,39
DE,2022,2022-Q4,0.0,0
DE,2023,2023-Q1,0.0,0
DE,2023,2023-Q2,0.0,0
DE,2023,2023-Q3,0.0,0
DE,2023,2023-Q4,0.0,0
DE,2024,2024-Q1,0.08644193548387097,310
DE,2024,2024-Q2,0.08644193548387097,310
DE,2024,2024-Q3,0.08644193548387097,310
DE,2024,2024-Q4,0.08644193548387097,310
DK,2023,2023-Q1,0.0,0
DK,2023,2023-Q2,0.0,0
DK,2023,2023-Q3,0.0,0
DK,2023,2023-Q4,0.0,0
DK,2024,2024-Q1,0.0848,40
DK,2024,2024-Q2,0.0848,40
DK,2024,2024-Q3,0.0848,40
DK,2024,2024-Q4,0.0848,40
EG,2022,2022-Q4,0.0,0
EG,2023,2023-Q1,0.0,0
EG,2023,2023-Q3,0.0,0
EG,2023,2023-Q4,0.0,0
EG,2024,2024-Q1,0.07832162162162162,37
EG,2024,2024-Q2,0.07832162162162162,37
EG,2024,2024-Q3,0.07832162162162162,37
EG,2024,2024-Q4,0.07832162162162162,37
ES,2022,2022-Q4,0.0,0
ES,2023,2023-Q1,0.0,0
ES,2023,2023-Q2,0.0,0
ES,2023,2023-Q3,0.0,0
ES,2023,2023-Q4,0.0,0
ES,2024,2024-Q1,0.07451016949152542,118
ES,2024,2024-Q2,0.07451016949152542,118
ES,2024,2024-Q3,0.07451016949152542,118
ES,2024,2024-Q4,0.07451016949152542,118
FI,2022,2022-Q4,0.0,0
FI,2023,2023-Q1,0.0,0
FI,2023,2023-Q2,0.0,0
FI,2023,2023-Q3,0.0,0
FI,2023,2023-Q4,0.0,0
FI,2024,2024-Q2,0.111209375,32
FI,2024,2024-Q3,0.111209375,32
FI,2024,2024-Q4,0.111209375,32
FR,2022,2022-Q4,0.0,0
FR,2023,2023-Q1,0.0,0
FR,2023,2023-Q2,0.0,0
FR,2023,2023-Q3,0.0,0
FR,2023,2023-Q4,0.0,0
FR,2024,2024-Q1,0.0784949806949807,259
FR,2024,2024-Q2,0.0784949806949807,259
FR,2024,2024-Q3,0.0784949806949807,259
FR,2024,2024-Q4,0.0784949806949807,259
GB,2022,2022-Q4,0.0,0
GB,2023,2023-Q1,0.0,0
GB,2023,2023-Q2,0.0,0
GB,2023,2023-Q3,0.0,0
GB,2023,2023-Q4,0.0,0
GB,2024,2024-Q1,0.09099386792452831,211
GB,2024,2024-Q2,0.09099386792452831,211
GB,2024,2024-Q3,0.09099386792452831,211
