country,year,pct_ai_users,n_accounts
AT,2022,0.07636333333333334,30
AT,2023,0.07636333333333334,30
AT,2024,0.10084333333333334,30
AU,2022,0.07545833333333334,36
AU,2023,0.07545833333333334,36
AU,2024,0.08332222222222223,36
BD,2022,0.06349384615384615,65
BD,2023,0.06349384615384615,65
BD,2024,0.06653846153846155,65
BR,2022,0.05717801047120419,191
BR,2023,0.05717801047120419,191
BR,2024,0.07137591623036649,191
CA,2022,0.07228375000000001,80
CA,2023,0.07228375000000001,80
CA,2024,0.09014375,80
CH,2022,0.07809772727272728,44
CH,2023,0.07809772727272728,44
CH,2024,0.09881363636363637,44
CN,2022,0.05574817073170731,164
CN,2023,0.05574817073170731,164
CN,2024,0.0765640243902439,164
CZ,2022,0.054789285714285714,28
CZ,2023,0.054789285714285714,28
CZ,2024,0.07354285714285715,28
DE,2022,0.061815962441314556,213
DE,2023,0.061815962441314556,213
DE,2024,0.08175821596244132,213
DK,2022,0.053285714285714283,21
DK,2023,0.053285714285714283,21
DK,2024,0.08580952380952381,21
EG,2022,0.08832608695652173,23
EG,2023,0.08832608695652173,23
EG,2024,0.08261304347826087,23
ES,2022,0.06783026315789474,76
ES,2023,0.06783026315789474,76
ES,2024,0.0784328947368421,76
FI,2022,0.07314375000000001,16
FI,2023,0.07314375000000001,16
FI,2024,0.09758125,16
FR,2022,0.05833869047619048,168
FR,2023,0.05833869047619048,168
FR,2024,0.07573630952380953,168
GB,2022,0.07600416666666666,144
GB,2023,0.07600416666666666,144
GB,2024,0.09787708333333334,144
ID,2022,0.056100000000000004,48
ID,2023,0.056100000000000004,48
ID,2024,0.07989583333333333,48
IN,2022,0.06489056603773585,371
IN,2023,0.06489056603773585,371
IN,2024,0.06882156334231805,371
IT,2022,0.05566451612903226,62
IT,2023,0.05566451612903226,62
IT,2024,0.07804516129032259,62
JP,2022,0.056228125,64
JP,2023,0.056228125,64
JP,2024,0.0825796875,64
KE,2022,0.0903764705882353,17
KE,2023,0.0903764705882353,17
KE,2024,0.0725,17
KR,2022,0.06083207547169811,159
KR,2023,0.06083207547169811,159
KR,2024,0.0737062893081761,159
NG,2022,0.05797209302325581,43
NG,2023,0.05797209302325581,43
NG,2024,0.06791627906976744,43
NL,2022,0.05779259259259259,54
NL,2023,0.05779259259259259,54
NL,2024,0.07253888888888889,54
NO,2022,0.07664230769230769,26
NO,2023,0.07664230769230769,26
NO,2024,0.12156923076923078,26
PH,2022,0.07700833333333333,24
PH,2023,0.07700833333333333,24
PH,2024,0.06085000000000001,24
PK,2022,0.06619268292682927,41
PK,2023,0.06619268292682927,41
PK,2024,0.06915609756097561,41
PL,2022,0.06847764705882353,85
PL,2023,0.06847764705882353,85
PL,2024,0.07887529411764706,85
PT,2022,0.056979999999999996,35
PT,2023,0.056979999999999996,35
PT,2024,0.07274571428571429,35
RU,2022,0.05168472222222223,72
RU,2023,0.05168472222222223,72
RU,2024,0.07907638888888889,72
SE,2022,0.06465121951219513,41
SE,2023,0.06465121951219513,41
SE,2024,0.07322439024390244,41
SG,2022,0.08585161290322581,31
SG,2023,0.08585161290322581,31
SG,2024,0.09934193548387098,31
TR,2022,0.049312195121951216,41
TR,2023,0.049312195121951216,41
TR,2024,0.06987317073170732,41
US,2022,0.06792852760736197,326
US,2023,0.06792852760736197,326
US,2024,0.08034907975460122,326
VN,2022,0.07709534883720931,43
VN,2023,0.07709534883720931,43
VN,2024,0.08264418604651164,43
