login,label,discovery_method,marker_confidence,tool_type,pre_commit_count,pre_mean_message_length,pre_active_weeks,pre_repos_touched,pre_mean_commits_per_active_week,pre_frac_multiline,pre_frac_conventional,pre_frac_mentions_test,pre_frac_has_bullets,pre_mean_inter_commit_hours,pre_frac_burst_commits,pre_sampled_test_cowrite_rate,pre_file_sample_count,pre_mean_pr_body_length,pre_frac_pr_has_body,post_commit_count,post_mean_message_length,post_active_weeks,post_repos_touched,post_mean_commits_per_active_week,post_frac_multiline,post_frac_conventional,post_frac_mentions_test,post_frac_has_bullets,post_mean_inter_commit_hours,post_frac_burst_commits,post_sampled_test_cowrite_rate,post_file_sample_count,post_mean_pr_body_length,post_frac_pr_has_body,delta_commit_count,delta_mean_message_length,delta_active_weeks,delta_repos_touched,delta_mean_commits_per_active_week,delta_frac_multiline,delta_frac_conventional,delta_frac_mentions_test,delta_frac_has_bullets,delta_mean_inter_commit_hours,delta_frac_burst_commits,delta_sampled_test_cowrite_rate,delta_file_sample_count,delta_mean_pr_body_length,delta_frac_pr_has_body
berry-13,1,commit_search_coauthor,high,claude,92,98.27,20,3,4.6,0.315,0.25,0.033,0.315,44.6,0.418,0.0,18,0.0,0.0,170,236.94,62,3,2.74,0.659,0.018,0.059,0.647,101.11,0.207,0.35,34,32026.62,1.0,78,138.67,42,0,-1.86,0.344,-0.232,0.026,0.332,56.51,-0.211,0.35,16,32026.62,1.0
mucointech1010,1,commit_search_coauthor,high,claude,67,47.61,16,1,4.19,0.313,0.015,0.149,0.015,146.13,0.652,0.2,12,0.0,0.0,71,85.03,13,1,5.46,0.239,0.0,0.127,0.085,205.65,0.714,0.545,16,20.0,0.0,4,37.42,-3,0,1.27,-0.074,-0.015,-0.022,0.07,59.52,0.062,0.345,4,20.0,0.0
puntasmiling,1,commit_search_coauthor,high,claude,245,32.03,41,3,5.98,0.041,0.024,0.008,0.0,65.35,0.492,0.0,48,0.0,0.0,281,237.35,47,3,5.98,0.737,0.036,0.043,0.185,55.57,0.393,0.096,57,43.0,0.0,36,205.32,6,0,0.0,0.696,0.012,0.035,0.185,-9.78,-0.099,0.096,9,43.0,0.0
seniordev1012,1,commit_search_coauthor,high,claude,369,53.64,27,3,13.67,0.127,0.469,0.003,0.144,27.52,0.655,0.0,72,0.0,0.0,263,129.75,25,4,10.52,0.597,0.057,0.011,0.304,27.84,0.584,0.0,54,8676.12,0.625,-106,76.11,-2,1,-3.15,0.47,-0.412,0.008,0.16,0.32,-0.071,0.0,-18,8676.12,0.625
dev-kota,1,commit_search_coauthor,high,claude,366,52.73,27,3,13.56,0.123,0.473,0.003,0.142,27.75,0.655,0.0,74,0.0,0.0,263,134.64,26,4,10.12,0.597,0.057,0.011,0.316,31.76,0.588,0.0,52,0.0,0.0,-103,81.91,-1,1,-3.44,0.474,-0.416,0.008,0.174,4.01,-0.067,0.0,-22,0.0,0.0
connect-sheraz,1,commit_search_coauthor,high,claude,11,101.09,3,1,3.67,0.818,0.091,0.0,0.091,180.7,0.7,0.0,1,0.0,0.0,608,192.39,12,4,50.67,0.722,0.326,0.113,0.289,2.86,0.682,0.295,121,61635.5,1.0,597,91.3,9,3,47.0,-0.096,0.235,0.113,0.198,-177.84,-0.018,0.295,120,61635.5,1.0
michellezh94,1,commit_search_coauthor,high,claude,71,18.59,3,1,23.67,0.014,0.0,0.0,0.014,4.41,0.929,0.0,14,0.0,0.0,400,126.56,3,2,133.33,0.325,0.122,0.065,0.133,0.99,0.897,0.583,80,0.0,0.0,329,107.97,0,1,109.66,0.311,0.122,0.065,0.119,-3.42,-0.032,0.583,66,0.0,0.0
cyber-pro1,1,commit_search_coauthor,high,claude,13,49.23,2,1,6.5,0.308,0.0,0.077,0.077,35.01,0.75,1.0,1,0.0,0.0,236,170.97,35,3,6.74,0.504,0.551,0.131,0.22,55.54,0.643,0.483,48,57695.67,1.0,223,121.74,33,2,0.24,0.196,0.551,0.054,0.143,20.53,-0.107,-0.517,47,57695.67,1.0
aidev0x0,1,commit_search_coauthor,high,claude,261,101.58,26,4,10.04,0.314,0.107,0.084,0.176,28.42,0.615,0.32,53,0.0,0.0,236,187.02,41,4,5.76,0.542,0.097,0.14,0.432,55.53,0.596,0.346,46,0.0,0.0,-25,85.44,15,0,-4.28,0.228,-0.01,0.056,0.256,27.11,-0.019,0.026,-7,0.0,0.0
dseisun,1,commit_search_coauthor,high,claude,17,95.88,9,1,1.89,0.235,0.176,0.059,0.118,460.28,0.125,0.0,1,51.5,0.5,18,57.61,9,1,2.0,0.056,0.0,0.056,0.0,393.33,0.353,0.5,6,48.0,0.0,1,-38.27,0,0,0.11,-0.179,-0.176,-0.003,-0.118,-66.95,0.228,0.5,5,-3.5,-0.5
