login,repo,marker_found
nokhodian,nokhodian/d3domainswap,True
connect-sheraz,connect-sheraz/ai-llm-tools,True
cyber-pro1,cyber-pro1/instructor,True
shiarauzo,shiarauzo/lupa,True
jxnl,jxnl/dots,True
alexlamas,alexlamas/yallaflash,True
dseisun,dseisun/nerdouts,True
talltree-eng,talltree-eng/python-sdk,True
takeshishimada,takeshishimada/Lockman,True
ml0-1337,ml0-1337/claude-gate,True
Andrew-Jayne,Andrew-Jayne/VS-Code-Clock,True
Andrew-Jayne,Andrew-Jayne/Knowledge-Vault,True
ymat19,ymat19/dotfiles,True
baleen37,baleen37/dotfiles,True
gruzilkin,gruzilkin/iot,True
aygp-dr,aygp-dr/aygp-dr,True
aygp-dr,aygp-dr/dotanthropic,True
oscar-barlow,oscar-barlow/home.services,True
p-m-p,p-m-p/slider,True
yungweng,yungweng/github-things-sync,True
yungweng,yungweng/shared-things,True
yungweng,yungweng/gh-tldr,True
yungweng,yungweng/dotfiles,True
hartra344,hartra344/homesite,True
john-b-rush,john-b-rush/john-b-rush.github.io,True
fohte,fohte/dotfiles,True
suzuki-toshihir0,suzuki-toshihir0/claude-logger,True
SoHyunePark,SoHyunePark/ralph,True
SoHyunePark,SoHyunePark/logtape,True
kradalby,kradalby/dotfiles,True
mgreenly,mgreenly/space-captain,True
phernandez,phernandez/inspector,True
roottool,roottool/portfolio,True
takashabe,takashabe/dotfiles,True
d-issy,d-issy/dotfiles,True
benceruleanlu,benceruleanlu/codex,True
benceruleanlu,benceruleanlu/ComfyUI_frontend,True
acganger,acganger/ganger-platform,True
nikolay-e,nikolay-e/lingua-quiz,True
nikolay-e,nikolay-e/treemapper,True
nikolay-e,nikolay-e/mac-dev-setup,True
nikolay-e,nikolay-e/life-as-code,True
nikolay-e,nikolay-e/yay-tsa,True
joo-on,joo-on/hotel-booking-system,True
joo-on,joo-on/incident-analysis-system,True
GGPrompts,GGPrompts/ClaudeGlobalCommands,True
GGPrompts,GGPrompts/TFE,True
GGPrompts,GGPrompts/TUITemplate,True
GGPrompts,GGPrompts/TUIClassics,True
pgatzka,pgatzka/sodium,True
pgatzka,pgatzka/graphite,True
hmohamed01,hmohamed01/MECM_SQL_Queries,True
hmohamed01,hmohamed01/Claude-Code-Scaffolding-Skill,True
hmohamed01,hmohamed01/SQL-Expert,True
hmohamed01,hmohamed01/swift-development,True
fwojciec,fwojciec/configs,True
fwojciec,fwojciec/w11i.me,True
kitasenbei,kitasenbei/packshare,True
