login,repo,marker_found
FabriAgulles,FabriAgulles/t2xlabs-web,True
matmcw,matmcw/me,True
Gravikko,Gravikko/nft-marketplace,True
Gravikko,Gravikko/Diamond-Governance-Timeline,True
dpalfery,dpalfery/hotshotlogisitcs,True
dpalfery,dpalfery/hotshot-logistics-demo,True
dpalfery,dpalfery/OutlineMCP,True
Jyager31,Jyager31/devq-starter-theme,True
thomasjmiller12,thomasjmiller12/codenames-benchmark,True
thomasjmiller12,thomasjmiller12/aligned,True
thomasjmiller12,thomasjmiller12/glyph,True
JS1240,JS1240/kruzna-karta-hrvatska,True
JS1240,JS1240/SheepAI-Fonoa,True
JS1240,JS1240/zse-watcher,True
lrpthomas,lrpthomas/LRPDM,True
jamesdaly-dev,jamesdaly-dev/okta-realms-creator,True
ShogoMiyashita,ShogoMiyashita/MyKakeibo,True
ajfriend,ajfriend/ajfriend.github.io,True
tomogisu,tomogisu/voicevox-tts-mcp,True
dp-web4,dp-web4/Synchronism,True
chatchailim,chatchailim/SecureGen,True
t43itha,t43itha/SLM-Website-V0,True
t43itha,t43itha/ec-web-nextjs,True
t43itha,t43itha/churchcoin-new,True
t43itha,t43itha/EliteDispatchGemini,True
paraddox,paraddox/threejs-toonshooter,True
paraddox,paraddox/ZeroCoder,True
partyfinderpro,partyfinderpro/partyfinder-2.0,True
makhin,makhin/PhotoBank,True
shlee123456,shlee123456/Ansible,True
odphineguy,odphineguy/dashboard,True
odphineguy,odphineguy/paw-relief-landing,True
odphineguy,odphineguy/usage-dash,True
artemgetmann,artemgetmann/jarvis-voice-ai,True
artemgetmann,artemgetmann/mcp-cloud-tools,True
artemgetmann,artemgetmann/mindmirror,True
artemgetmann,artemgetmann/openclaw,True
GeonYul2,GeonYul2/NovaRium-MVP,True
GeonYul2,GeonYul2/Recruitment_Auto,True
RaggedR,RaggedR/momentum-stock-trading,True
RaggedR,RaggedR/voice_to_image,True
RaggedR,RaggedR/book-friend-finder,True
RaggedR,RaggedR/disk-scan,True
JiwaniZakir,JiwaniZakir/sentinel,True
Casian202,Casian202/PortofelVirtual,True
Casian202,Casian202/Memories-APP,True
codesandideas,codesandideas/image-convertor-desktop,True
codesandideas,codesandideas/ftp-sync-ci,True
ysj-gif,ysj-gif/trally,True
jamesiford,jamesiford/va-loan-concierge,True
rlawless22,rlawless22/ultra-search,True
ivandolman,ivandolman/stash,True
tomzhengy,tomzhengy/mHC-RL,True
tomzhengy,tomzhengy/openclaw,True
huberdf,huberdf/FreeDisplay,True
lgd-matlab,lgd-matlab/obsidian-copilot,True
kmylpenter,kmylpenter/FamilyGoals,True
kmylpenter,kmylpenter/KFG-CCv2-Installer-Stable,True
kmylpenter,kmylpenter/KFG-Addons,True
rasterwebapps,rasterwebapps/rasteronelab,True
rasterwebapps,rasterwebapps/OneBook,True
achiya-automation,achiya-automation/waha-secure-install,True
DeadshotOMEGA,DeadshotOMEGA/mindforge,True
DeadshotOMEGA,DeadshotOMEGA/sentinel,True
DeadshotOMEGA,DeadshotOMEGA/cobblemon-quests-extended,True
DeadshotOMEGA,DeadshotOMEGA/claude-starter,True
DeadshotOMEGA,DeadshotOMEGA/mcquest_designer,True
Krosebrook,Krosebrook/SuperClaude,True
Keelando,Keelando/surf-website,True
miounet11,miounet11/claude-code-manager,True
BrooklynD23,BrooklynD23/Plated-Testing-CC,True
alexhachm,alexhachm/KalshiAlpha,True
alexhachm,alexhachm/setup-agents-mac9,True
alexhachm,alexhachm/setup-agents-mac10,True
alexhachm,alexhachm/setup-agents-codex10,True
adamtc007,adamtc007/kyc-platform,True
adamtc007,adamtc007/data-designer,True
adamtc007,adamtc007/dsl-designer,True
yoshiyuki-miyagi-d,yoshiyuki-miyagi-d/kindle-tenki-dashboard,True
joshuachen3333,joshuachen3333/strong_number_embedding,True
joshuachen3333,joshuachen3333/manipulate_bookmarklm_from_yt_playlist,True
james-housteau,james-housteau/vertex-ai-search,True
jaime-oriol,jaime-oriol/blog,True
jaime-oriol,jaime-oriol/footballdecoded,True
jaime-oriol,jaime-oriol/RITMO,True
jaime-oriol,jaime-oriol/xG_Model,True
frenchweddingstyle,frenchweddingstyle/frenchweddingstyle,True
kmikeym,kmikeym/vibes.diy,True
kmikeym,kmikeym/quarterly-systems-landing,True
kmikeym,kmikeym/quarterlykb,True
kmikeym,kmikeym/the-body-electric,True
MerverliPy,MerverliPy/openchamber,True
MerverliPy,MerverliPy/Pocket-Agents,True
gitdevaldo,gitdevaldo/tanyahukum,True
gitdevaldo,gitdevaldo/firegen,True
gitdevaldo,gitdevaldo/exagen,True
gitdevaldo,gitdevaldo/nexclipper,True
robertroyster,robertroyster/lookbook-admin,True
robertroyster,robertroyster/lookbook-website,True
tantanpapa00,tantanpapa00/AUAT,True
nakatatsu,nakatatsu/handson-example,True
camoneart,camoneart/portfolio-site,True
kartikdatla,kartikdatla/TailoredSolutions,True
kartikdatla,kartikdatla/GreatRudgwickBakeOff,True
