country,quarter,n_developers,commits,pull_requests,creates,comments,releases,issues,total_events,commits_per_dev,prs_per_dev,creates_per_dev,total_events_per_dev
NL,2022-Q4,3,4,1,1,0,0,0,6,1.3333,0.3333,0.3333,2.0000
NO,2022-Q4,3,4,1,1,0,0,0,6,1.3333,0.3333,0.3333,2.0000
JP,2022-Q4,2,4,0,0,1,0,3,8,2.0000,0.0000,0.0000,4.0000
ES,2022-Q4,5,8,3,0,0,0,0,11,1.6000,0.6000,0.0000,2.2000
FI,2022-Q4,2,3,0,0,0,0,0,3,1.5000,0.0000,0.0000,1.5000
SE,2022-Q4,4,3,0,1,1,0,2,7,0.7500,0.0000,0.2500,1.7500
KR,2022-Q4,8,13,3,4,0,0,0,20,1.6250,0.3750,0.5000,2.5000
IN,2022-Q4,13,12,1,7,0,0,1,21,0.9231,0.0769,0.5385,1.6154
CN,2022-Q4,8,5,0,0,4,0,2,11,0.6250,0.0000,0.0000,1.3750
CZ,2022-Q4,3,8,2,4,0,0,0,14,2.6667,0.6667,1.3333,4.6667
DE,2022-Q4,25,36,5,8,5,1,3,58,1.4400,0.2000,0.3200,2.3200
RO,2022-Q4,3,3,4,1,0,0,0,8,1.0000,1.3333,0.3333,2.6667
PE,2022-Q4,1,1,0,0,0,0,0,1,1.0000,0.0000,0.0000,1.0000
GB,2022-Q4,8,7,4,2,2,0,2,17,0.8750,0.5000,0.2500,2.1250
FR,2022-Q4,7,6,3,4,5,0,0,18,0.8571,0.4286,0.5714,2.5714
TR,2022-Q4,2,1,0,3,0,0,0,4,0.5000,0.0000,1.5000,2.0000
TW,2022-Q4,2,3,0,1,0,0,0,4,1.5000,0.0000,0.5000,2.0000
VN,2022-Q4,1,1,0,0,0,0,0,1,1.0000,0.0000,0.0000,1.0000
BE,2022-Q4,2,3,0,0,0,0,0,3,1.5000,0.0000,0.0000,1.5000
CH,2022-Q4,4,1,0,2,2,0,0,5,0.2500,0.0000,0.5000,1.2500
SG,2022-Q4,3,1,1,5,0,0,0,7,0.3333,0.3333,1.6667,2.3333
BR,2022-Q4,3,3,0,0,0,0,0,3,1.0000,0.0000,0.0000,1.0000
BD,2022-Q4,3,3,0,0,0,0,0,3,1.0000,0.0000,0.0000,1.0000
KE,2022-Q4,3,10,0,0,0,0,0,10,3.3333,0.0000,0.0000,3.3333
AT,2022-Q4,1,1,0,0,0,0,0,1,1.0000,0.0000,0.0000,1.0000
PL,2022-Q4,5,6,3,2,0,0,0,11,1.2000,0.6000,0.4000,2.2000
EG,2022-Q4,2,5,2,1,0,0,0,8,2.5000,1.0000,0.5000,4.0000
