login,pre_commit_count,pre_mean_message_length,pre_active_weeks,pre_repos_touched,pre_mean_commits_per_active_week,pre_frac_multiline,pre_frac_conventional,pre_frac_mentions_test,pre_frac_has_bullets,pre_mean_inter_commit_hours,pre_frac_burst_commits,pre_sampled_test_cowrite_rate,pre_file_sample_count,pre_mean_pr_body_length,pre_frac_pr_has_body,post_commit_count,post_mean_message_length,post_active_weeks,post_repos_touched,post_mean_commits_per_active_week,post_frac_multiline,post_frac_conventional,post_frac_mentions_test,post_frac_has_bullets,post_mean_inter_commit_hours,post_frac_burst_commits,post_sampled_test_cowrite_rate,post_file_sample_count,post_mean_pr_body_length,post_frac_pr_has_body,delta_commit_count,delta_mean_message_length,delta_active_weeks,delta_repos_touched,delta_mean_commits_per_active_week,delta_frac_multiline,delta_frac_conventional,delta_frac_mentions_test,delta_frac_has_bullets,delta_mean_inter_commit_hours,delta_frac_burst_commits,delta_sampled_test_cowrite_rate,delta_file_sample_count,delta_mean_pr_body_length,delta_frac_pr_has_body
JeffersonSenaa,38,34.21,9,4,4.22,0.026,0.0,0.0,0.0,154.31,0.351,0.0,0,0.0,0.0,47,31.3,13,4,3.62,0.0,0.0,0.0,0.043,77.99,0.457,0.0,0,0.0,0.0,9,-2.91,4,0,-0.6,-0.026,0.0,0.0,0.043,-76.32,0.106,0.0,0,0.0,0.0
lgthevinh,80,11.93,16,3,5.0,0.0,0.0,0.025,0.0,115.85,0.62,0.0,0,0.0,0.0,20,18.7,11,2,1.82,0.0,0.0,0.0,0.0,951.4,0.421,0.0,0,0.0,0.0,-60,6.77,-5,-1,-3.18,0.0,0.0,-0.025,0.0,835.55,-0.199,0.0,0,0.0,0.0
Aisuko,54,71.39,8,1,6.75,0.87,0.0,0.0,0.0,60.14,0.264,0.0,0,0.0,0.0,46,52.11,14,2,3.29,0.087,0.0,0.0,0.022,265.02,0.356,0.0,0,6.75,0.0,-8,-19.28,6,1,-3.46,-0.783,0.0,0.0,0.022,204.88,0.092,0.0,0,6.75,0.0
ThomasAurelius,40,17.48,15,4,2.67,0.05,0.0,0.0,0.0,258.95,0.487,0.0,0,0.0,0.0,12,17.25,4,1,3.0,0.083,0.0,0.0,0.0,359.94,0.636,0.0,0,0.0,0.0,-28,-0.23,-11,-3,0.33,0.033,0.0,0.0,0.0,100.99,0.149,0.0,0,0.0,0.0
Hello-LSY,27,13.52,11,1,2.45,0.0,0.0,0.0,0.0,142.68,0.154,0.0,0,0.0,0.0,73,43.55,14,2,5.21,0.0,0.301,0.0,0.37,140.24,0.653,0.0,0,0.0,0.0,46,30.03,3,1,2.76,0.0,0.301,0.0,0.37,-2.44,0.499,0.0,0,0.0,0.0
jincito,19,33.37,4,5,4.75,0.105,0.0,0.0,0.053,423.37,0.722,0.0,0,0.0,0.0,16,21.44,9,1,1.78,0.062,0.0,0.0,0.0,1139.43,0.4,0.0,0,0.0,0.0,-3,-11.93,5,-4,-2.97,-0.043,0.0,0.0,-0.053,716.06,-0.322,0.0,0,0.0,0.0
libondev,56,21.34,4,1,14.0,0.0,0.679,0.036,0.0,20.62,0.8,0.0,0,0.0,0.0,13,17.15,1,1,13.0,0.0,0.462,0.0,0.0,7.51,0.667,0.0,0,0.0,0.0,-43,-4.19,-3,0,-1.0,0.0,-0.217,-0.036,0.0,-13.11,-0.133,0.0,0,0.0,0.0
samettcelik,11,50.27,1,2,11.0,0.0,0.0,0.0,0.0,0.35,0.9,0.0,0,0.0,0.0,5,16.0,4,2,1.25,0.0,0.0,0.0,0.0,1959.9,0.25,0.0,0,0.0,0.0,-6,-34.27,3,0,-9.75,0.0,0.0,0.0,0.0,1959.55,-0.65,0.0,0,0.0,0.0
jjd214,6,25.17,3,4,2.0,0.167,0.0,0.0,0.0,400.35,0.6,0.0,0,0.0,0.0,94,21.17,13,1,7.23,0.032,0.0,0.0,0.0,79.16,0.796,0.0,0,0.0,0.0,88,-4.0,10,-3,5.23,-0.135,0.0,0.0,0.0,-321.19,0.196,0.0,0,0.0,0.0
getmarkus,42,14.07,5,3,8.4,0.0,0.0,0.0,0.0,15.16,0.537,0.0,0,0.0,0.0,53,103.43,15,2,3.53,0.604,0.245,0.151,0.0,236.74,0.596,0.0,0,48.0,0.135,11,89.36,10,-1,-4.87,0.604,0.245,0.151,0.0,221.58,0.059,0.0,0,48.0,0.135
