login,pre_commit_count,pre_mean_message_length,pre_active_weeks,pre_repos_touched,pre_mean_commits_per_active_week,pre_frac_multiline,pre_frac_conventional,pre_frac_mentions_test,pre_frac_has_bullets,pre_mean_inter_commit_hours,pre_frac_burst_commits,pre_sampled_test_cowrite_rate,pre_file_sample_count,pre_mean_pr_body_length,pre_frac_pr_has_body,post_commit_count,post_mean_message_length,post_active_weeks,post_repos_touched,post_mean_commits_per_active_week,post_frac_multiline,post_frac_conventional,post_frac_mentions_test,post_frac_has_bullets,post_mean_inter_commit_hours,post_frac_burst_commits,post_sampled_test_cowrite_rate,post_file_sample_count,post_mean_pr_body_length,post_frac_pr_has_body,delta_commit_count,delta_mean_message_length,delta_active_weeks,delta_repos_touched,delta_mean_commits_per_active_week,delta_frac_multiline,delta_frac_conventional,delta_frac_mentions_test,delta_frac_has_bullets,delta_mean_inter_commit_hours,delta_frac_burst_commits,delta_sampled_test_cowrite_rate,delta_file_sample_count,delta_mean_pr_body_length,delta_frac_pr_has_body
kishoryd,31,20.03,4,4,7.75,0.0,0.0,0.0,0.0,15.07,0.7,0.0,0,0.0,0.0,7,20.43,4,1,1.75,0.0,0.0,0.0,0.0,301.12,0.5,0.0,0,0.0,0.0,-24,0.4,0,-3,-6.0,0.0,0.0,0.0,0.0,286.05,-0.2,0.0,0,0.0,0.0
lutfiandri,63,30.75,11,1,5.73,0.111,0.825,0.032,0.0,191.4,0.677,0.0,0,22.71,0.143,19,29.32,4,1,4.75,0.0,1.0,0.0,0.0,317.57,0.611,0.0,0,0.0,0.0,-44,-1.43,-7,0,-0.98,-0.111,0.175,-0.032,0.0,126.17,-0.066,0.0,0,-22.71,-0.143
ThinhPhoenix,61,10.59,3,2,20.33,0.033,0.0,0.0,0.0,181.02,0.867,0.0,0,0.0,0.0,39,15.62,12,2,3.25,0.0,0.0,0.0,0.0,391.68,0.632,0.0,0,0.0,0.0,-22,5.03,9,0,-17.08,-0.033,0.0,0.0,0.0,210.66,-0.235,0.0,0,0.0,0.0
yoratoni,68,24.66,5,1,13.6,0.0,0.0,0.015,0.0,128.01,0.672,0.0,0,0.0,0.0,7,18.29,3,2,2.33,0.0,0.143,0.0,0.0,1643.48,0.5,0.0,0,0.0,0.0,-61,-6.37,-2,1,-11.27,0.0,0.143,-0.015,0.0,1515.47,-0.172,0.0,0,0.0,0.0
programmer-zheng,90,13.44,11,1,8.18,0.0,0.0,0.0,0.0,34.41,0.528,0.0,0,0.0,0.0,10,17.1,6,1,1.67,0.1,0.0,0.0,0.0,791.27,0.444,0.0,0,0.0,0.0,-80,3.66,-5,0,-6.51,0.1,0.0,0.0,0.0,756.86,-0.084,0.0,0,0.0,0.0
robolyst,17,25.29,4,1,4.25,0.059,0.0,0.0,0.0,282.69,0.75,0.0,0,0.0,0.0,32,16.69,5,2,6.4,0.0,0.0,0.062,0.0,350.89,0.774,0.0,0,0.0,0.0,15,-8.6,1,1,2.15,-0.059,0.0,0.062,0.0,68.2,0.024,0.0,0,0.0,0.0
austinorth,17,81.47,6,1,2.83,0.765,0.0,0.176,0.0,463.14,0.438,0.0,0,0.0,0.0,35,111.83,14,3,2.5,0.943,0.343,0.0,0.0,528.7,0.529,0.0,0,240.5,1.0,18,30.36,8,2,-0.33,0.178,0.343,-0.176,0.0,65.56,0.091,0.0,0,240.5,1.0
wangshunnn,20,25.95,4,1,5.0,0.0,0.25,0.0,0.0,159.64,0.737,0.0,0,0.0,0.0,80,85.09,19,1,4.21,0.588,0.175,0.0,0.0,60.22,0.342,0.0,0,0.0,0.0,60,59.14,15,0,-0.79,0.588,-0.075,0.0,0.0,-99.42,-0.395,0.0,0,0.0,0.0
CleanerC,48,17.29,8,3,6.0,0.0,0.0,0.0,0.0,28.93,0.511,0.0,0,0.0,0.0,17,19.41,5,2,3.4,0.0,0.0,0.0,0.0,533.9,0.625,0.0,0,0.0,0.0,-31,2.12,-3,-1,-2.6,0.0,0.0,0.0,0.0,504.97,0.114,0.0,0,0.0,0.0
alikhere,5,17.2,3,2,1.67,0.0,0.0,0.0,0.0,1430.93,0.5,0.0,0,0.0,0.0,13,11.92,6,2,2.17,0.0,0.0,0.077,0.0,537.42,0.583,0.0,0,0.0,0.0,8,-5.28,3,0,0.5,0.0,0.0,0.077,0.0,-893.51,0.083,0.0,0,0.0,0.0
