login,country,pre_classifier_score,post_classifier_score,pre_commits,post_commits
pcmbs,DE,0.0468,0.0451,83,17
mattyonder,BR,0.0287,0.0292,48,14
Larshalvorhansen,NO,0.0239,0.1638,13,87
Nishchaypat,US,0.0411,0.0379,20,64
DragunWF,PH,0.0258,0.0316,41,59
subbusainath,IN,0.1591,0.268,70,7
devejosh,IN,0.0414,0.1674,5,11
SananMaarouf,NO,0.0394,0.0367,47,18
Liebe3,PH,0.0367,0.0314,23,22
Trrrrw,CN,0.0235,0.0291,78,19
kylerphillips,GB,0.0417,0.5297,11,20
abdul-rehman-d,PK,0.0264,0.0443,27,68
simon-lawyer,CA,0.1264,0.0544,46,34
mcraiha,FI,0.279,0.2065,44,39
amcucunuba,FR,0.0361,0.0289,60,29
Dawgsrlife,CA,0.0758,0.0804,6,94
LuisMiguel-efe,CO,0.0579,0.0702,16,24
thedevtobiii,NG,0.0279,0.0329,5,5
shirosensei,NG,0.0333,0.0301,13,11
MarineCrou,FR,0.2044,0.167,5,70
larsrickert,DE,0.0488,0.0618,94,6
Nandhan007,IN,0.0758,0.0498,19,59
toriumi0118,JP,0.0406,0.0558,22,78
lycaoduong,DE,0.0769,0.0441,16,14
Bekhruzakhmadjanov,AE,0.0374,0.0332,38,9
isabelntho,CH,0.0285,0.0315,24,5
marslo,US,0.0286,0.0425,83,17
abbasamirza,PK,0.0306,0.175,19,36
wandanamaddumage,LK,0.0265,0.0487,9,47
gureckis,US,0.0311,0.0397,12,14
krishantt,NP,0.1681,0.0722,21,15
rafael-freitass,BR,0.052,0.0589,10,12
L-Sun,JP,0.0638,0.1636,40,18
scatyf3,US,0.0306,0.0271,20,11
slavingia,US,0.0306,0.0518,17,54
RyuYeoni,KR,0.0459,0.0417,24,8
v0rkath,GB,0.0419,0.0368,76,11
Soyaib10,BD,0.0287,0.0311,70,9
SCWells72,US,0.0958,0.0609,17,14
upadhyayvaibhav229,IN,0.0578,0.0387,9,8
mateuszmarc,PL,0.05,0.0385,45,8
PaulAdrPENET,FR,0.0437,0.1049,58,34
Sergtco,RU,0.044,0.0751,6,94
lshqqytiger,KR,0.0258,0.0269,11,6
