login,status,country,classifier_score,pre_commits,post_commits,timestamp
fqrious,skipped,,,,,2026-03-30T13:11:34.957597
Curamy,skipped,,,,,2026-03-30T13:11:53.361860
developerSeonah,skipped,,,,,2026-03-30T13:12:08.948642
AbdisaW,skipped,,,,,2026-03-30T13:12:26.874647
BhargavGarge,skipped,,,,,2026-03-30T13:12:45.635439
caiofrnca,skipped,,,,,2026-03-30T13:12:56.741431
zaitouny,skipped,,,,,2026-03-30T13:13:10.619125
infomotin,skipped,BD,,0,0,2026-03-30T13:13:29.298245
cderv,skipped,FR,,0,0,2026-03-30T13:13:32.306010
hamzaraftar,skipped,,,,,2026-03-30T13:13:51.219247
wjwarner24,skipped,,,,,2026-03-30T13:14:10.143717
ahas,skipped,KR,,0,0,2026-03-30T13:14:28.759608
diplov,skipped,NP,,0,5,2026-03-30T13:14:43.993244
yoyor00,skipped,,,,,2026-03-30T13:14:50.303107
AnkitPandey1303,skipped,,,,,2026-03-30T13:15:07.370190
haesleinhuepf,skipped,DE,,0,0,2026-03-30T13:15:26.152130
JulianDMartinez,skipped,,,,,2026-03-30T13:15:36.084303
CristianK25,skipped,,,,,2026-03-30T13:15:52.862780
vadeeek,skipped,,,,,2026-03-30T13:16:09.332522
aghyad111,skipped,,,,,2026-03-30T13:16:26.170260
xliu-g,skipped,,,,,2026-03-30T13:16:41.766240
surajvast1,skipped,,,,,2026-03-30T13:17:01.069093
devendra2690,skipped,IN,,0,0,2026-03-30T13:17:19.367226
parsaiej,skipped,,,,,2026-03-30T13:17:37.766782
lauradeng23,skipped,,,,,2026-03-30T13:17:43.827275
matcha12345,skipped,,,,,2026-03-30T13:17:50.180252
danieldevzx,skipped,,,,,2026-03-30T13:18:09.443198
TusharSaxena2005,skipped,,,,,2026-03-30T13:18:28.871741
JeffersonSenaa,scored,BR,0.0237,38,47,2026-03-30T13:18:45.139778
topherod,skipped,,,,,2026-03-30T13:19:00.284407
oledr-code,skipped,,,,,2026-03-30T13:19:06.269372
helio-frota,skipped,BR,,22,0,2026-03-30T13:19:28.380201
2602-AyushG,skipped,,,,,2026-03-30T13:19:46.703595
AliAnderson82,skipped,,,,,2026-03-30T13:20:06.278039
PeterHallonmark,skipped,SE,,0,96,2026-03-30T13:20:16.521729
AJrelapse,skipped,IN,,0,21,2026-03-30T13:20:36.799478
sharm999,skipped,US,,3,19,2026-03-30T13:20:46.520888
Takidoo,skipped,,,,,2026-03-30T13:21:05.631598
grumpyintelbear,skipped,,,,,2026-03-30T13:21:14.910130
lucianasorbelli,skipped,,,,,2026-03-30T13:21:33.506524
Lynyh2022,skipped,,,,,2026-03-30T13:21:43.492569
LuisMdelaRiva,skipped,,,,,2026-03-30T13:21:52.348681
Ziad-Mahmood,skipped,,,,,2026-03-30T13:21:59.505825
Papsanly,skipped,,,,,2026-03-30T13:22:09.555583
jinuxx,skipped,,,,,2026-03-30T13:22:19.188024
bimac,skipped,PT,,4,0,2026-03-30T13:22:39.101277
zhanxu33,skipped,,,,,2026-03-30T13:22:57.958455
vishnu26r,skipped,IN,,2,6,2026-03-30T13:23:16.943865
elcattivo66,skipped,,,,,2026-03-30T13:23:27.155395
ITValley-School,skipped,CA,,0,47,2026-03-30T13:23:47.105782
mmaatttt,skipped,,,,,2026-03-30T13:23:59.063801
AbiramiSukumaran,skipped,IN,,26,0,2026-03-30T13:24:18.398808
purusthong,skipped,,,,,2026-03-30T13:24:27.406051
valaphee,skipped,,,,,2026-03-30T13:24:43.853256
canoypa,skipped,JP,,0,0,2026-03-30T13:25:00.104597
TonyH0401,skipped,,,,,2026-03-30T13:25:18.519158
latifa-taybi,skipped,MA,,,,2026-03-30T13:25:33.846370
Gopher8484,skipped,,,,,2026-03-30T13:25:40.374808
jnpb1996,skipped,,,,,2026-03-30T13:25:50.534495
lgthevinh,scored,VN,0.029,80,20,2026-03-30T13:26:03.712930
JoaoPauloLordelo,skipped,,,,,2026-03-30T13:26:13.430262
felixparejapmdit,skipped,,,,,2026-03-30T13:26:20.345451
voidconsole,skipped,,,,,2026-03-30T13:26:38.914813
apictures,skipped,,,,,2026-03-30T13:26:48.475969
m1nh101,skipped,,,,,2026-03-30T13:26:57.743266
brsvaaa,skipped,CZ,,0,0,2026-03-30T13:27:03.522772
ghaithbenothmen,skipped,,,,,2026-03-30T13:27:22.994378
sakthisakthi9684,skipped,,,,,2026-03-30T13:27:41.938709
alshehrimazen,skipped,,,,,2026-03-30T13:27:54.318837
Matvey-17,skipped,,,,,2026-03-30T13:28:15.365341
itxzmevishal,skipped,,,,,2026-03-30T13:28:32.958784
muddi900,skipped,,,,,2026-03-30T13:28:42.243905
lemirep,skipped,,,,,2026-03-30T13:28:48.700737
dadrum,skipped,,,,,2026-03-30T13:28:58.029088
dentarg,skipped,SE,,0,0,2026-03-30T13:29:15.536302
LiweiDengDavid,skipped,AU,,0,56,2026-03-30T13:29:30.475175
anxoaragundi,skipped,ES,,0,24,2026-03-30T13:29:48.659342
Gordey1999,skipped,,,,,2026-03-30T13:30:06.737696
adarsh-201,skipped,,,,,2026-03-30T13:30:19.235025
oznaMG,skipped,,,,,2026-03-30T13:30:29.003503
snehabhujbal,skipped,,,,,2026-03-30T13:30:39.212597
BeeFox-sys,skipped,,,,,2026-03-30T13:30:57.460326
Sokheebjon,skipped,,,,,2026-03-30T13:31:16.277238
nlstaci,skipped,,,,,2026-03-30T13:31:22.396066
aduvai22,skipped,,,,,2026-03-30T13:31:39.937958
AdrianDanvila,skipped,,,,,2026-03-30T13:31:58.781047
medacoal,skipped,,,,,2026-03-30T13:32:07.928767
ReGeNss,skipped,UA,,0,100,2026-03-30T13:32:22.279766
chiyonn,skipped,,,,,2026-03-30T13:32:35.126283
rhahao,skipped,,,,,2026-03-30T13:32:44.771838
Bouvier-Tobias,skipped,FR,,0,13,2026-03-30T13:33:00.357438
JofrarcDev,skipped,,,,,2026-03-30T13:33:19.057787
thatmarkenglishguy,skipped,,,,,2026-03-30T13:33:27.422140
nanjiangwill,skipped,US,,0,0,2026-03-30T13:33:40.039818
Temake,skipped,NG,,0,31,2026-03-30T13:33:55.956742
burberryonn,skipped,,,,,2026-03-30T13:34:12.930185
Aisuko,scored,AU,0.1197,54,46,2026-03-30T13:34:23.665801
SamikshaSingh25,skipped,,,,,2026-03-30T13:34:43.270052
BBjarne,skipped,,,,,2026-03-30T13:34:49.258036
nuwan-samarasinghe,skipped,,,,,2026-03-30T13:35:04.702856
rafarm04,skipped,,,,,2026-03-30T13:35:22.978873
ZavenArra,skipped,,,,,2026-03-30T13:35:35.224526
AhasanAraShimi,skipped,,,,,2026-03-30T13:35:56.588327
ercanezin,skipped,,,,,2026-03-30T13:36:11.774933
jihyuk0414,skipped,,,,,2026-03-30T13:36:21.555284
AndrewHabl,skipped,,,,,2026-03-30T13:36:41.913289
Haipm26,skipped,,,,,2026-03-30T13:36:56.991275
chengzwk,skipped,,,,,2026-03-30T13:37:17.877714
ashiqsahajama,skipped,,,,,2026-03-30T13:37:38.978581
AndreasHoegh,skipped,,,,,2026-03-30T13:37:57.741263
akksharvan,skipped,,,,,2026-03-30T13:38:11.267270
usamec,skipped,,,,,2026-03-30T13:38:20.979002
eduardoshanahan,skipped,IE,,0,100,2026-03-30T13:38:31.049488
karl-run,skipped,NO,,0,0,2026-03-30T13:38:40.730107
dcho24,skipped,,,,,2026-03-30T13:38:46.816326
DeanWard,skipped,,,,,2026-03-30T13:38:58.822571
2pir2,skipped,,,,,2026-03-30T13:39:15.244053
mmilata,skipped,,,,,2026-03-30T13:39:30.826582
PeterLaudy,skipped,,,,,2026-03-30T13:39:50.374460
jocedalex,skipped,,,,,2026-03-30T13:40:07.198279
onlymisaky,skipped,,,,,2026-03-30T13:40:26.898460
Shreyansh-1998,skipped,,,,,2026-03-30T13:40:44.203199
MaksFULL,skipped,,,,,2026-03-30T13:40:50.781715
Andre-Moura-Dev,skipped,,,,,2026-03-30T13:41:09.680149
DrakBall,skipped,,,,,2026-03-30T13:41:30.168365
Mogiwalla,skipped,,,,,2026-03-30T13:41:48.764350
Shrey0610,skipped,,,,,2026-03-30T13:42:08.944163
GLHFranco322,skipped,,,,,2026-03-30T13:42:27.529487
Cl0udG0d,skipped,,,,,2026-03-30T13:42:40.592368
Allano256,skipped,,,,,2026-03-30T13:42:59.368385
Notoriousmb10,skipped,,,,,2026-03-30T13:43:19.198019
vildanbina,skipped,,,,,2026-03-30T13:43:37.445393
wshena,skipped,ID,,9,0,2026-03-30T13:43:56.523377
ramirobarrantes,skipped,,,,,2026-03-30T13:44:12.432473
deadash,skipped,,,,,2026-03-30T13:44:31.379564
amdufour,skipped,HU,,0,0,2026-03-30T13:44:50.232547
SuyashParmar,skipped,IN,,0,18,2026-03-30T13:45:09.497810
unkrich,skipped,US,,0,0,2026-03-30T13:45:27.331288
ThomasAurelius,scored,US,0.0333,40,12,2026-03-30T13:45:43.183118
Anselmo-Filho-NAVA,skipped,,,,,2026-03-30T13:45:50.408029
MasterPtato,skipped,,,,,2026-03-30T13:45:59.723875
MelMorette,skipped,,,,,2026-03-30T13:46:06.708443
SAMARTHSHANBHAG,skipped,,,,,2026-03-30T13:46:25.447581
ds-edu,skipped,,,,,2026-03-30T13:46:35.312189
pascui1995,skipped,,,,,2026-03-30T13:46:41.345113
agabani,skipped,GB,,0,0,2026-03-30T13:46:55.303846
infinitus0,skipped,,,,,2026-03-30T13:46:58.165015
brad2014,skipped,,,,,2026-03-30T13:47:04.349336
PoleWick,skipped,,,,,2026-03-30T13:47:14.035138
jlriom,skipped,,,,,2026-03-30T13:47:28.056834
Wahaj-Developer,skipped,,,,,2026-03-30T13:47:47.453654
bellitabellota,skipped,,,,,2026-03-30T13:48:03.520164
Criptoruim,skipped,PT,,0,35,2026-03-30T13:48:16.464572
Dipak4064,skipped,NP,,0,100,2026-03-30T13:48:26.165250
Hoon94,skipped,KR,,96,0,2026-03-30T13:48:38.939957
mikejobson,skipped,GB,,0,86,2026-03-30T13:48:49.275214
sriram-ravi705,skipped,IN,,0,61,2026-03-30T13:49:02.430423
starandry,skipped,,,,,2026-03-30T13:49:12.155646
jgraeger,skipped,DE,,0,0,2026-03-30T13:49:21.291040
jeffrichards,skipped,,,,,2026-03-30T13:49:25.763630
Hello-LSY,scored,KR,0.0447,27,73,2026-03-30T13:49:35.940264
KauaAissa,skipped,,,,,2026-03-30T13:49:55.989027
bensler,skipped,,,,,2026-03-30T13:50:10.591092
hardingjam,skipped,DE,,0,0,2026-03-30T13:50:23.332896
priyamvadha28,skipped,IN,,0,26,2026-03-30T13:50:43.015618
khairi143,skipped,,,,,2026-03-30T13:51:02.534523
ZXColt,skipped,,,,,2026-03-30T13:51:21.498105
hiprathamesh,skipped,,,,,2026-03-30T13:51:40.990748
Anayreddy,skipped,,,,,2026-03-30T13:51:59.535060
FerreteriaSuperior,skipped,,,,,2026-03-30T13:52:10.126125
Tuavsn,skipped,,,,,2026-03-30T13:52:29.514480
losshye,skipped,,,,,2026-03-30T13:52:38.755378
Auromera,skipped,,,,,2026-03-30T13:52:41.622499
demigod-22,skipped,,,,,2026-03-30T13:52:54.010379
marman2,skipped,,,,,2026-03-30T13:53:09.734730
avinash1410-cyber,skipped,IN,,1,0,2026-03-30T13:53:25.862096
maryagiamah,skipped,,,,,2026-03-30T13:53:39.244257
FKingQueen,skipped,,,,,2026-03-30T13:53:57.871323
ivan-nejezchleb,skipped,,,,,2026-03-30T13:54:00.948893
h1096224896,skipped,,,,,2026-03-30T13:54:04.027095
jelmerk,skipped,,,,,2026-03-30T13:54:23.161638
raghu1827,skipped,,,,,2026-03-30T13:54:29.246541
zzjtnb,skipped,,,,,2026-03-30T13:54:45.721758
btoms20,skipped,,,,,2026-03-30T13:54:56.363450
yjoonjang,skipped,KR,,10,0,2026-03-30T13:55:18.404055
Yonom,skipped,,,,,2026-03-30T13:55:39.413174
