login,status,country,classifier_score,pre_commits,post_commits,timestamp
kishoryd,scored,IN,0.0292,31,7,2026-04-02T01:35:52.241651
danula-rathnayaka,skipped,LK,,0,26,2026-04-02T01:36:03.644812
lutfiandri,scored,ID,0.0459,63,19,2026-04-02T01:36:11.856405
SpotlightKid,skipped,DE,,0,0,2026-04-02T01:36:14.924063
R1D1CUL0US,error,BE,,,,2026-04-02T01:36:15.792032
Horus031,skipped,VN,,0,30,2026-04-02T01:36:27.574460
ahmedmostafa8701,skipped,EG,,10,0,2026-04-02T01:36:38.931906
MichaelSalata,skipped,US,,0,0,2026-04-02T01:36:46.696296
kiamatt,skipped,US,,0,0,2026-04-02T01:36:58.013194
SrSeptimo,skipped,ES,,0,9,2026-04-02T01:37:01.170867
dcollie2,skipped,US,,0,0,2026-04-02T01:37:02.202505
the0therguy,skipped,BD,,5,0,2026-04-02T01:37:11.690820
GNoverHir,skipped,BR,,0,77,2026-04-02T01:37:23.377535
ThinhPhoenix,scored,VN,0.0465,61,39,2026-04-02T01:37:31.395386
notastay,skipped,ES,,0,24,2026-04-02T01:37:40.613844
wms2537,skipped,MY,,0,0,2026-04-02T01:37:45.862691
Benson-Kim,skipped,KE,,0,0,2026-04-02T01:37:58.040367
jittarao,skipped,IN,,0,0,2026-04-02T01:38:01.020918
codecalm,skipped,PL,,0,0,2026-04-02T01:38:12.316317
yoratoni,scored,FR,0.0443,68,7,2026-04-02T01:38:18.044532
ghall89,skipped,US,,0,0,2026-04-02T01:38:30.088963
mcucchi9,skipped,IT,,6,0,2026-04-02T01:38:33.372869
RobinMalfait,skipped,BE,,0,0,2026-04-02T01:38:41.768651
programmer-zheng,scored,CN,0.038,90,10,2026-04-02T01:38:45.235988
siddhantphy,skipped,NL,,59,1,2026-04-02T01:38:54.500091
galderz,skipped,CH,,0,0,2026-04-02T01:39:05.608961
nrsegovia,skipped,KR,,3,8,2026-04-02T01:39:12.958422
WINODH-PRASANNA,skipped,LK,,0,100,2026-04-02T01:39:17.200235
Shuai-Xin,skipped,TW,,0,0,2026-04-02T01:39:28.584317
VenusGirl,skipped,KR,,0,0,2026-04-02T01:39:29.877062
robolyst,scored,GB,0.0378,17,32,2026-04-02T01:39:41.506864
dup2,skipped,CH,,0,0,2026-04-02T01:39:42.523945
ImperiAmic,skipped,ES,,0,38,2026-04-02T01:39:53.820351
NeonTowel,skipped,FI,,0,0,2026-04-02T01:40:04.642102
wesleywmg2609,error,MY,,,,2026-04-02T01:40:05.522964
QweRezOn,skipped,RU,,0,0,2026-04-02T01:40:06.576950
HatimMaterwala,skipped,CA,,0,23,2026-04-02T01:40:17.929124
jesus2099,skipped,FR,,0,100,2026-04-02T01:40:23.097798
Alaleh,skipped,US,,0,62,2026-04-02T01:40:33.004491
jbw9964,skipped,KR,,79,1,2026-04-02T01:40:44.785145
manas-techie,skipped,IN,,0,73,2026-04-02T01:40:57.286070
salvadordf,skipped,ES,,0,100,2026-04-02T01:41:01.523732
Jaime-alv,skipped,ES,,4,1,2026-04-02T01:41:12.466753
honsontran,skipped,US,,0,0,2026-04-02T01:41:23.847571
ivanwilliammd,skipped,ID,,0,0,2026-04-02T01:41:35.350347
villivald,skipped,FI,,0,0,2026-04-02T01:41:47.911788
dondaha,skipped,CN,,21,0,2026-04-02T01:41:57.383473
KUMARANKIT3012,skipped,IN,,0,100,2026-04-02T01:42:08.834694
TimKnight-DWP,skipped,GB,,0,0,2026-04-02T01:42:09.865038
Adprivat,skipped,DE,,0,74,2026-04-02T01:42:22.117859
arturdamiao,skipped,BR,,0,36,2026-04-02T01:42:33.477352
Jipolie01,skipped,NL,,0,0,2026-04-02T01:42:42.528796
kayinsg,skipped,CA,,0,100,2026-04-02T01:42:48.268887
gcohler,skipped,US,,0,0,2026-04-02T01:42:54.221762
Gokulprakash2005,skipped,IN,,0,18,2026-04-02T01:43:05.120985
tomodwyer,skipped,GB,,0,0,2026-04-02T01:43:15.864051
ChipzCiptadi,skipped,ID,,0,0,2026-04-02T01:43:27.231234
kevmoo,skipped,US,,0,0,2026-04-02T01:43:35.121955
vjloable,skipped,PH,,0,0,2026-04-02T01:43:40.906891
austinorth,scored,US,0.2121,17,35,2026-04-02T01:43:51.376813
HamdiHarahap,skipped,ID,,0,100,2026-04-02T01:44:01.215272
jmacdotorg,skipped,US,,0,0,2026-04-02T01:44:02.278468
braddialpad,error,CA,,,,2026-04-02T01:44:03.143303
AnusreeRoy,skipped,BD,,37,0,2026-04-02T01:44:13.259961
Adib227,skipped,BD,,0,18,2026-04-02T01:44:24.227428
mikoto2000,skipped,JP,,0,0,2026-04-02T01:44:33.476092
noxbondy,skipped,SE,,0,20,2026-04-02T01:44:44.649281
wangshunnn,scored,CN,0.0655,20,80,2026-04-02T01:44:51.143752
astaykov,skipped,DE,,0,0,2026-04-02T01:44:58.135913
VincentGranville,skipped,US,,99,1,2026-04-02T01:45:04.285247
farhanhubble,skipped,AU,,0,0,2026-04-02T01:45:11.262492
ITBeesPL,skipped,PL,,0,0,2026-04-02T01:45:22.131811
cassirambd,skipped,AR,,23,2,2026-04-02T01:45:27.596741
brainiac,skipped,US,,0,0,2026-04-02T01:45:31.191010
pubkey,skipped,DE,,2,3,2026-04-02T01:45:41.275583
AxelSorensen,skipped,DK,,30,0,2026-04-02T01:45:52.684002
sun-yuliang,skipped,CN,,5,0,2026-04-02T01:46:02.036999
2mightyMt,skipped,KR,,0,76,2026-04-02T01:46:15.377188
System-Glitch,skipped,FR,,0,0,2026-04-02T01:46:25.453560
vinaySankar2004,skipped,CA,,2,15,2026-04-02T01:46:35.087675
jainankit,skipped,US,,0,0,2026-04-02T01:46:38.116476
YusufOzmen01,skipped,TR,,46,3,2026-04-02T01:46:50.059635
EhrmannS,skipped,DE,,0,0,2026-04-02T01:46:56.814344
debug-bot,skipped,NL,,0,0,2026-04-02T01:47:08.448129
sho11decade,skipped,JP,,4,85,2026-04-02T01:47:19.928079
nassimlnd,skipped,FR,,14,0,2026-04-02T01:47:27.622717
CleanerC,scored,US,0.0416,48,17,2026-04-02T01:47:37.154584
alikhere,scored,IN,0.0546,5,13,2026-04-02T01:47:48.507021
Ehijieokoh,skipped,NG,,0,10,2026-04-02T01:47:59.372745
ptheywood,scored,GB,0.0388,10,25,2026-04-02T01:48:05.176223
Sadique-The-Alchemist,skipped,IN,,0,0,2026-04-02T01:48:16.276856
FedericoMartucci,skipped,AR,,49,2,2026-04-02T01:48:28.497784
Austin-Ackermann,scored,ZA,0.043,7,5,2026-04-02T01:48:38.409011
dong99u,skipped,KR,,32,0,2026-04-02T01:48:50.158643
codingAlphay,skipped,AT,,0,10,2026-04-02T01:48:53.078009
dsRepo-cmd,skipped,UA,,0,100,2026-04-02T01:48:57.344675
Rafi5734,skipped,US,,0,0,2026-04-02T01:49:09.025351
TengHuo,skipped,SG,,0,0,2026-04-02T01:49:19.731246
MViscardi-UCSC,skipped,US,,0,0,2026-04-02T01:49:27.475676
git-rahul15,skipped,IN,,0,32,2026-04-02T01:49:34.827245
rishigandhi612,skipped,IN,,5,0,2026-04-02T01:49:45.511388
zohaibhammad,skipped,AU,,8,0,2026-04-02T01:49:56.437614
mattvot,error,GB,,,,2026-04-02T01:49:57.303831
gauravchafe,skipped,IN,,1,99,2026-04-02T01:50:07.242269
Geobellz22,skipped,NG,,100,0,2026-04-02T01:50:18.977436
revgen,skipped,US,,0,100,2026-04-02T01:50:22.768075
sneko,skipped,FR,,0,0,2026-04-02T01:50:25.702009
wslyvh,skipped,NL,,0,0,2026-04-02T01:50:34.500823
abhiGithub302,skipped,IN,,8,0,2026-04-02T01:50:45.357147
Samusn,skipped,CH,,0,100,2026-04-02T01:50:53.090965
jpinedaf,skipped,DE,,0,0,2026-04-02T01:51:00.991506
jmgirard,scored,US,0.0358,12,36,2026-04-02T01:51:13.187485
hocine-dev,skipped,FR,,4,13,2026-04-02T01:51:24.329797
mikkeloscar,skipped,DE,,0,0,2026-04-02T01:51:33.974655
farmatholin,scored,RU,0.0488,7,5,2026-04-02T01:51:44.224100
akitikkx,skipped,NL,,0,0,2026-04-02T01:51:55.122564
excoffierleonard,skipped,CA,,0,100,2026-04-02T01:52:00.161753
ingvagabund,skipped,CZ,,0,0,2026-04-02T01:52:11.293692
DevCielo,skipped,AU,,0,36,2026-04-02T01:52:22.803995
JasimUllah,skipped,PK,,0,20,2026-04-02T01:52:34.686388
schtibe,skipped,CH,,0,0,2026-04-02T01:52:41.478092
mertyildiran,skipped,TR,,0,1,2026-04-02T01:52:51.269930
RicGR98,skipped,BE,,0,4,2026-04-02T01:52:54.252174
lildgman,skipped,KR,,0,34,2026-04-02T01:53:05.921998
Calebbii,skipped,KE,,0,0,2026-04-02T01:53:18.103613
RashmikaRamkumar,scored,IN,0.0286,5,7,2026-04-02T01:53:29.170617
StylesTrip,skipped,US,,0,0,2026-04-02T01:53:41.195641
HamzaAburaneh,skipped,CA,,6,0,2026-04-02T01:53:51.020469
Anoop1420,skipped,IN,,0,5,2026-04-02T01:53:54.082751
salva-dev,skipped,ES,,0,0,2026-04-02T01:53:55.179160
Prajna1999,skipped,IN,,14,0,2026-04-02T01:54:06.572257
jcleal,scored,AU,0.0316,9,12,2026-04-02T01:54:09.625308
PasinduPaboda,skipped,LK,,0,49,2026-04-02T01:54:21.698890
tvernum,skipped,AU,,0,1,2026-04-02T01:54:24.914588
NexovaIT,skipped,LK,,0,94,2026-04-02T01:54:36.778413
MIUNO,skipped,RU,,3,1,2026-04-02T01:54:42.616684
RasmanTuta,skipped,NO,,0,0,2026-04-02T01:54:54.027872
WictorNisa,skipped,SE,,0,0,2026-04-02T01:55:04.969583
sys010611,scored,KR,0.0458,7,43,2026-04-02T01:55:16.814738
TravisSwift,skipped,US,,46,0,2026-04-02T01:55:28.326125
discodyer,scored,CN,0.0291,12,9,2026-04-02T01:55:37.885856
kankenny,scored,US,0.0377,85,15,2026-04-02T01:55:47.980110
DuviniN,skipped,LK,,0,84,2026-04-02T01:56:00.474399
arturo-melero,skipped,ES,,0,16,2026-04-02T01:56:11.711539
viniciusNoleto,scored,BR,0.0313,88,8,2026-04-02T01:56:24.154833
datengraben,skipped,DE,,23,0,2026-04-02T01:56:27.383319
zairahira,skipped,PK,,13,0,2026-04-02T01:56:36.930056
mbakhtawar2007,skipped,PK,,1,17,2026-04-02T01:56:47.659594
malliina,skipped,FI,,0,0,2026-04-02T01:56:51.112209
shivanshtalwar0,skipped,IN,,0,0,2026-04-02T01:57:00.793811
rfuzzo,skipped,AT,,0,0,2026-04-02T01:57:12.236087
Fiteropp,skipped,FI,,0,100,2026-04-02T01:57:18.843372
Fahien,skipped,IT,,0,0,2026-04-02T01:57:30.116456
uaday,skipped,BD,,0,0,2026-04-02T01:57:41.000511
ramabondanp,skipped,ID,,0,0,2026-04-02T01:57:46.336138
Krishukr12,skipped,IN,,40,0,2026-04-02T01:57:51.842086
Marusyk,skipped,UA,,0,0,2026-04-02T01:57:57.459438
Varsius,skipped,DE,,4,4,2026-04-02T01:58:00.842320
adrian-vargas,skipped,MX,,0,0,2026-04-02T01:58:07.712289
theluckyprogrammer,skipped,PL,,3,12,2026-04-02T01:58:13.199023
ulisesgomez120,skipped,US,,0,0,2026-04-02T01:58:23.763482
gyeongminn,scored,KR,0.0462,25,75,2026-04-02T01:58:33.546347
jvlazar,scored,IE,0.1084,48,32,2026-04-02T01:58:45.550468
infoyouth,skipped,IN,,0,0,2026-04-02T01:58:46.609895
DavidFrings,skipped,DE,,3,31,2026-04-02T01:58:58.808281
c-shinkle,skipped,US,,0,0,2026-04-02T01:59:09.653691
Batirro,skipped,PL,,0,79,2026-04-02T01:59:22.237746
kkrgzz,skipped,DE,,2,0,2026-04-02T01:59:31.389097
l1b0k,skipped,CN,,3,0,2026-04-02T01:59:40.943895
DGuang21,skipped,CN,,8,4,2026-04-02T01:59:50.073631
teemuja,scored,FI,0.0547,19,81,2026-04-02T01:59:56.258465
shawna-tuli-silicon-valley,skipped,US,,8,3,2026-04-02T02:00:02.151766
emresmrlp,skipped,TR,,2,61,2026-04-02T02:00:14.515575
mythilytm,skipped,CA,,0,20,2026-04-02T02:00:17.609784
EvgenCore,skipped,ES,,0,56,2026-04-02T02:00:29.203426
alejandropallares,skipped,MX,,0,51,2026-04-02T02:00:40.774165
shivakayan,scored,IN,0.1126,5,68,2026-04-02T02:00:50.585517
iMilchshake,skipped,DE,,0,0,2026-04-02T02:01:00.296882
alexandraBara,error,US,,,,2026-04-02T02:01:01.168036
biru-codeastromer,skipped,IN,,0,10,2026-04-02T02:01:08.333130
Laib00,skipped,PK,,0,1,2026-04-02T02:01:11.471551
MFlisar,skipped,AT,,0,0,2026-04-02T02:01:22.198371
uniqueumesh,skipped,IN,,0,0,2026-04-02T02:01:23.295848
BobsIsHere,skipped,BE,,11,2,2026-04-02T02:01:34.795205
t7y,skipped,US,,0,0,2026-04-02T02:01:37.749189
djtms,skipped,PL,,0,0,2026-04-02T02:01:45.412613
bernedom,skipped,CH,,0,0,2026-04-02T02:01:49.114440
alexgromero,skipped,US,,1,4,2026-04-02T02:01:54.433593
vixorien,scored,US,0.0311,34,42,2026-04-02T02:02:07.941327
pentaoa,skipped,CN,,0,51,2026-04-02T02:02:17.601847
kardanov,scored,DE,0.0406,44,33,2026-04-02T02:02:21.133392
Andrewnopoulos,skipped,AU,,0,0,2026-04-02T02:02:30.554684
Kanyorok,skipped,KE,,11,0,2026-04-02T02:02:41.621694
PGijsbers,skipped,NL,,2,0,2026-04-02T02:02:52.416481
lukecarr,skipped,GB,,0,0,2026-04-02T02:03:05.170129
L1m3Kun,scored,KR,0.0301,41,9,2026-04-02T02:03:17.043409
liixing,scored,CN,0.038,7,11,2026-04-02T02:03:29.365746
jameswylie,skipped,GB,,0,6,2026-04-02T02:03:36.971718
PietropaoloFrisoni,skipped,DE,,95,0,2026-04-02T02:03:47.707835
sauravpanda,scored,US,0.0315,13,5,2026-04-02T02:03:53.143392
lucas89901,skipped,TW,,99,1,2026-04-02T02:04:03.323686
reserban,skipped,RO,,0,3,2026-04-02T02:04:06.286494
Sandeep4512,skipped,IN,,6,0,2026-04-02T02:04:17.147726
ValeryRabchenyuk,skipped,RU,,0,39,2026-04-02T02:04:22.672852
BagasDhitya,skipped,ID,,98,0,2026-04-02T02:04:33.238628
jessebrumley,skipped,US,,0,100,2026-04-02T02:04:36.800430
asirota,skipped,CA,,0,31,2026-04-02T02:04:44.356724
oxyblade,skipped,US,,53,0,2026-04-02T02:04:48.027391
pedro-pereira-dev,skipped,PT,,0,37,2026-04-02T02:04:58.526858
FrederickKlyk,skipped,DE,,14,2,2026-04-02T02:05:07.979274
pront,skipped,US,,0,0,2026-04-02T02:05:11.035371
niallmerrigan,skipped,NO,,0,0,2026-04-02T02:05:12.116726
christian-chavez,skipped,CA,,31,0,2026-04-02T02:05:24.177280
MinhQuan805,skipped,VN,,0,100,2026-04-02T02:05:32.648927
joycexjiang,skipped,US,,7,0,2026-04-02T02:05:39.887990
mbyrskog,skipped,SE,,0,14,2026-04-02T02:05:49.827713
aitorortega03,skipped,ES,,7,0,2026-04-02T02:06:01.103131
werebus,skipped,US,,3,4,2026-04-02T02:06:06.623333
RafaelGermano05,skipped,BR,,1,41,2026-04-02T02:06:18.111162
aric-hamburg,skipped,DE,,0,100,2026-04-02T02:06:22.214233
Aparna1Gopal,scored,AU,0.0365,18,11,2026-04-02T02:06:31.671456
Nexarian,skipped,US,,0,0,2026-04-02T02:06:34.652739
tomaslieffering,skipped,GB,,3,20,2026-04-02T02:06:45.926756
mazbox,skipped,GB,,0,0,2026-04-02T02:06:55.479016
realtomkwok,skipped,AU,,4,0,2026-04-02T02:07:05.469239
bpedersen2,skipped,DE,,0,0,2026-04-02T02:07:06.596176
