Year,Number of AI publications (in thousands),Field of study
2010,2.742,Mathematical optimization
2011,2.797,Mathematical optimization
2012,2.929,Mathematical optimization
2013,3.237,Mathematical optimization
2014,3.455,Mathematical optimization
2015,3.914,Mathematical optimization
2016,3.85,Mathematical optimization
2017,4.071,Mathematical optimization
2018,4.622,Mathematical optimization
2019,5.504,Mathematical optimization
2020,6.093,Mathematical optimization
2021,6.777,Mathematical optimization
2022,6.832,Mathematical optimization
2010,3.771,Linguistics
2011,3.815,Linguistics
2012,4.237,Linguistics
2013,4.233,Linguistics
2014,4.857,Linguistics
2015,4.782,Linguistics
2016,4.854,Linguistics
2017,4.504,Linguistics
2018,5.002,Linguistics
2019,5.396,Linguistics
2020,6.399,Linguistics
2021,6.807,Linguistics
2022,7.176,Linguistics
2010,6.341,Algorithm
2011,6.072,Algorithm
2012,6.237,Algorithm
2013,6.381,Algorithm
2014,6.579,Algorithm
2015,6.6,Algorithm
2016,6.051,Algorithm
2017,6.183,Algorithm
2018,6.702,Algorithm
2019,7.222,Algorithm
2020,7.258,Algorithm
2021,8.214,Algorithm
2022,8.309,Algorithm
2010,5.172,Control theory
2011,5.559,Control theory
2012,5.912,Control theory
2013,6.397,Control theory
2014,6.776,Control theory
2015,7.065,Control theory
2016,6.897,Control theory
2017,6.871,Control theory
2018,7.391,Control theory
2019,8.154,Control theory
2020,8.253,Control theory
2021,9.059,Control theory
2022,9.171,Control theory
2010,1.099,Computer network
2011,1.034,Computer network
2012,1.089,Computer network
2013,1.172,Computer network
2014,1.248,Computer network
2015,1.268,Computer network
2016,1.702,Computer network
2017,2.721,Computer network
2018,4.658,Computer network
2019,6.816,Computer network
2020,7.954,Computer network
2021,9.756,Computer network
2022,10.386,Computer network
2010,11.337,Process management
2011,11.556,Process management
2012,11.95,Process management
2013,12.157,Process management
2014,12.165,Process management
2015,12.56,Process management
2016,13.063,Process management
2017,12.848,Process management
2018,14.516,Process management
2019,15.226,Process management
2020,15.045,Process management
2021,12.478,Process management
2022,12.052,Process management
2010,9.839,Pattern recognition
2011,10.068,Pattern recognition
2012,10.604,Pattern recognition
2013,11.404,Pattern recognition
2014,12.274,Pattern recognition
2015,12.814,Pattern recognition
2016,12.397,Pattern recognition
2017,12.791,Pattern recognition
2018,13.967,Pattern recognition
2019,16.142,Pattern recognition
2020,16.646,Pattern recognition
2021,19.284,Pattern recognition
2022,19.841,Pattern recognition
2010,10.355,Computer vision
2011,10.948,Computer vision
2012,11.456,Computer vision
2013,12.386,Computer vision
2014,12.634,Computer vision
2015,13.246,Computer vision
2016,12.034,Computer vision
2017,12.178,Computer vision
2018,13.598,Computer vision
2019,15.83,Computer vision
2020,16.59,Computer vision
2021,19.562,Computer vision
2022,21.309,Computer vision
2010,6.229,Machine learning
2011,6.237,Machine learning
2012,6.894,Machine learning
2013,7.614,Machine learning
2014,8.676,Machine learning
2015,10.504,Machine learning
2016,12.78,Machine learning
2017,17.539,Machine learning
2018,27.132,Machine learning
2019,39.165,Machine learning
2020,50.81,Machine learning
2021,65.248,Machine learning
2022,72.229,Machine learning
