Year,Number of AI patents (in thousands),Application status
2010,1.999,granted
2011,2.206,granted
2012,2.648,granted
2013,2.723,granted
2014,3.12,granted
2015,3.505,granted
2016,3.761,granted
2017,5.136,granted
2018,8.144,granted
2019,15.783,granted
2020,23.373,granted
2021,38.268,granted
2022,62.264,granted
2010,1.525,not granted
2011,1.338,not granted
2012,1.706,not granted
2013,1.536,not granted
2014,1.979,not granted
2015,2.561,not granted
2016,3.809,not granted
2017,7.299,not granted
2018,12.083,not granted
2019,22.571,not granted
2020,40.21,not granted
2021,72.52,not granted
2022,128.952,not granted
