Year,Granted AI patents (% of world total),Region
2010,0.002783964,Middle East and North Africa
2011,0.003419638,Middle East and North Africa
2012,0.002017756,Middle East and North Africa
2013,0.001901864,Middle East and North Africa
2014,0.002014099,Middle East and North Africa
2015,0.001174398,Middle East and North Africa
2016,0.002209945,Middle East and North Africa
2017,0.002051703,Middle East and North Africa
2018,0.000623597,Middle East and North Africa
2019,0.000817199,Middle East and North Africa
2020,0.000296975,Middle East and North Africa
2021,0.000265421,Middle East and North Africa
2022,0.000280073,Middle East and North Africa
2010,0.000556793,Sub-Saharan Africa
2011,0.00048852,Sub-Saharan Africa
2012,,Sub-Saharan Africa
2013,,Sub-Saharan Africa
2014,0.000335683,Sub-Saharan Africa
2015,0.000587199,Sub-Saharan Africa
2016,0.000276243,Sub-Saharan Africa
2017,0.000615511,Sub-Saharan Africa
2018,0.000249439,Sub-Saharan Africa
2019,6.286145335680161e-05,Sub-Saharan Africa
2020,8.485002757625896e-05,Sub-Saharan Africa
2021,0.000212337,Sub-Saharan Africa
2022,0.001242823,Sub-Saharan Africa
2010,0.009465479,Latin America and the Caribbean
2011,0.009281876,Latin America and the Caribbean
2012,0.004842615,Latin America and the Caribbean
2013,0.002282237,Latin America and the Caribbean
2014,0.005035247,Latin America and the Caribbean
2015,0.003816794,Latin America and the Caribbean
2016,0.003867403,Latin America and the Caribbean
2017,0.007591301,Latin America and the Caribbean
2018,0.003866301,Latin America and the Caribbean
2019,0.00345738,Latin America and the Caribbean
2020,0.002460651,Latin America and the Caribbean
2021,0.001486357,Latin America and the Caribbean
2022,0.002100546,Latin America and the Caribbean
2010,0.003340757,South Asia
2011,0.002931119,South Asia
2012,0.002421308,South Asia
2013,0.001141118,South Asia
2014,0.00537093,South Asia
2015,0.003229595,South Asia
2016,0.00441989,South Asia
2017,0.003898236,South Asia
2018,0.005113495,South Asia
2019,0.004526025,South Asia
2020,0.005048577,South Asia
2021,0.003344304,South Asia
2022,0.002328105,South Asia
2010,0.013363028953229399,Rest of the world
2011,0.011235955056179775,Rest of the world
2012,0.008878128,Rest of the world
2013,0.010270064663370103,Rest of the world
2014,0.008392078,Rest of the world
2015,0.009395185,Rest of the world
2016,0.009116022,Rest of the world
2017,0.00677062,Rest of the world
2018,0.006859566,Rest of the world
2019,0.004274579,Rest of the world
2020,0.003775826,Rest of the world
2021,0.004697951,Rest of the world
2022,0.006756757,Rest of the world
2010,0.087416481,Europe and Central Asia
2011,0.082071324,Europe and Central Asia
2012,0.062953995,Europe and Central Asia
2013,0.047926968,Europe and Central Asia
2014,0.043974488,Europe and Central Asia
2015,0.048150322959483266,Europe and Central Asia
2016,0.050828729,Europe and Central Asia
2017,0.046368485843249894,Europe and Central Asia
2018,0.033923672,Europe and Central Asia
2019,0.030236359064621573,Europe and Central Asia
2020,0.025030758134996393,Europe and Central Asia
2021,0.022109565771313303,Europe and Central Asia
2022,0.023281053,Europe and Central Asia
2010,0.5517817371937639,North America
2011,0.48265754763067903,North America
2012,0.38660209846650523,North America
2013,0.3712438189425637,North America
2014,0.36555891238670696,North America
2015,0.3341162654139753,North America
2016,0.35939226519337014,North America
2017,0.30652441526466967,North America
2018,0.20952856073833873,North America
2019,0.20247674126225798,North America
2020,0.23142845021424632,North America
2021,0.2185476165198004,North America
2022,0.212050133,North America
2010,0.33129175946547884,East Asia and Pacific
2011,0.407914021,East Asia and Pacific
2012,0.5322841000807103,East Asia and Pacific
2013,0.5652339292506656,East Asia and Pacific
2014,0.5693185632762672,East Asia and Pacific
2015,0.5995302407516148,East Asia and Pacific
2016,0.5698895027624309,East Asia and Pacific
2017,0.6261797291752155,East Asia and Pacific
2018,0.7398353704165628,East Asia and Pacific
2019,0.7541488559215489,East Asia and Pacific
2020,0.7318739128590217,East Asia and Pacific
2021,0.749336448,East Asia and Pacific
2022,0.7519605097325305,East Asia and Pacific
