Year,AI publications (% of total),Sector
2010,0.012709665308466117,Other
2011,0.012099961039683865,Other
2012,0.012860054273788377,Other
2013,0.014058194873507556,Other
2014,0.013819936958234831,Other
2015,0.013706115,Other
2016,0.013517893906872837,Other
2017,0.013365353675668464,Other
2018,0.013198396275219865,Other
2019,0.014112955,Other
2020,0.015435433032360172,Other
2021,0.016257163,Other
2022,0.014551414742252968,Other
2010,0.026092909751438256,Nonprofit
2011,0.026693382312016473,Nonprofit
2012,0.028597273232559915,Nonprofit
2013,0.028179009768723385,Nonprofit
2014,0.029481875,Nonprofit
2015,0.030463094,Nonprofit
2016,0.030750361382452143,Nonprofit
2017,0.029281347365777474,Nonprofit
2018,0.028776513191929642,Nonprofit
2019,0.02869874,Nonprofit
2020,0.029203732600683745,Nonprofit
2021,0.028369088047709764,Nonprofit
2022,0.026182542919363155,Nonprofit
2010,0.070968739,Government
2011,0.068982023,Government
2012,0.071100842,Government
2013,0.071115471,Government
2014,0.07606383,Government
2015,0.076490142,Government
2016,0.076288931,Government
2017,0.074737676,Government
2018,0.07428867,Government
2019,0.071813664,Government
2020,0.06966395,Government
2021,0.069938179,Government
2022,0.069679038,Government
2010,0.069511158,Industry
2011,0.07292258,Industry
2012,0.073738243,Industry
2013,0.072910579,Industry
2014,0.072911742,Industry
2015,0.072747143,Industry
2016,0.077156249,Industry
2017,0.079925286,Industry
2018,0.088224263,Industry
2019,0.096210677,Industry
2020,0.09956121,Industry
2021,0.09404155,Industry
2022,0.078928536,Industry
2010,0.8207175274124623,Education
2011,0.8193020537652362,Education
2012,0.8137035866473402,Education
2013,0.8137367454287384,Education
2014,0.8077226162332545,Education
2015,0.8065935066709167,Education
2016,0.8022865653335669,Education
2017,0.8026903366060006,Education
2018,0.7955121572684946,Education
2019,0.7891639641676903,Education
2020,0.7861356735441479,Education
2021,0.7913940197134101,Education
2022,0.8106584688310389,Education
