AI publications (% of total),Sector,Geographic area
0.7547834134760477,Education,United States
0.14055489608273142,Industry,United States
0.055972476510472206,Government,United States
0.048689214,Nonprofit,United States
0.7562883021228796,Education,European Union and United Kingdom
0.094697778,Industry,European Union and United Kingdom
0.092764009,Government,European Union and United Kingdom
0.056249911,Nonprofit,European Union and United Kingdom
0.8175231349004957,Education,China
0.10049779179129459,Government,China
0.073934499,Industry,China
0.008044575,Nonprofit,China
