Year,Number of AI patent filings (in thousands),Application status,Geographic area
2010,0.307,Granted,China
2011,0.516,Granted,China
2012,0.926,Granted,China
2013,1.035,Granted,China
2014,1.278,Granted,China
2015,1.721,Granted,China
2016,1.621,Granted,China
2017,2.428,Granted,China
2018,4.741,Granted,China
2019,9.53,Granted,China
2020,13.071,Granted,China
2021,21.907,Granted,China
2022,35.315,Granted,China
2010,0.267,Not granted,China
2011,0.273,Not granted,China
2012,0.59,Not granted,China
2013,0.541,Not granted,China
2014,0.736,Not granted,China
2015,1.157,Not granted,China
2016,1.942,Not granted,China
2017,4.623,Not granted,China
2018,8.32,Not granted,China
2019,15.416,Not granted,China
2020,24.857,Not granted,China
2021,45.193,Not granted,China
2022,80.457,Not granted,China
2010,0.137,Granted,European Union and United Kingdom
2011,0.129,Granted,European Union and United Kingdom
2012,0.112,Granted,European Union and United Kingdom
2013,0.091,Granted,European Union and United Kingdom
2014,0.097,Granted,European Union and United Kingdom
2015,0.11,Granted,European Union and United Kingdom
2016,0.128,Granted,European Union and United Kingdom
2017,0.144,Granted,European Union and United Kingdom
2018,0.155,Granted,European Union and United Kingdom
2019,0.322,Granted,European Union and United Kingdom
2020,0.406,Granted,European Union and United Kingdom
2021,0.623,Granted,European Union and United Kingdom
2022,1.173,Granted,European Union and United Kingdom
2010,0.125,Not granted,European Union and United Kingdom
2011,0.124,Not granted,European Union and United Kingdom
2012,0.116,Not granted,European Union and United Kingdom
2013,0.096,Not granted,European Union and United Kingdom
2014,0.115,Not granted,European Union and United Kingdom
2015,0.127,Not granted,European Union and United Kingdom
2016,0.174,Not granted,European Union and United Kingdom
2017,0.207,Not granted,European Union and United Kingdom
2018,0.285,Not granted,European Union and United Kingdom
2019,0.505,Not granted,European Union and United Kingdom
2020,0.731,Not granted,European Union and United Kingdom
2021,1.202,Not granted,European Union and United Kingdom
2022,2.171,Not granted,European Union and United Kingdom
2010,0.984,Granted,United States
2011,0.98,Granted,United States
2012,0.95,Granted,United States
2013,0.97,Granted,United States
2014,1.078,Granted,United States
2015,1.135,Granted,United States
2016,1.298,Granted,United States
2017,1.489,Granted,United States
2018,1.674,Granted,United States
2019,3.211,Granted,United States
2020,5.441,Granted,United States
2021,8.219,Granted,United States
2022,12.077,Granted,United States
2010,0.651,Not granted,United States
2011,0.534,Not granted,United States
2012,0.524,Not granted,United States
2013,0.508,Not granted,United States
2014,0.68,Not granted,United States
2015,0.795,Not granted,United States
2016,1.058,Not granted,United States
2017,1.477,Not granted,United States
2018,1.901,Not granted,United States
2019,3.126,Not granted,United States
2020,4.444,Not granted,United States
2021,7.581,Not granted,United States
2022,15.112,Not granted,United States
