Year,Granted AI patents (% of world total),Geographic area
2010,0.00330033,India
2011,0.002922552,India
2012,0.002392344,India
2013,0.001132075,India
2014,0.005322688,India
2015,0.003205128,India
2016,0.004369197,India
2017,0.003861004,India
2018,0.005086849,India
2019,0.004502533,India
2020,0.005016652,India
2021,0.003319721,India
2022,0.002284883,India
2010,0.075357536,European Union and United Kingdom
2011,0.062834876,European Union and United Kingdom
2012,0.044657097288676235,European Union and United Kingdom
2013,0.034339622641509436,European Union and United Kingdom
2014,0.032268796,European Union and United Kingdom
2015,0.032051282,European Union and United Kingdom
2016,0.034953577280174765,European Union and United Kingdom
2017,0.029262345051818735,European Union and United Kingdom
2018,0.019230769230769232,European Union and United Kingdom
2019,0.020136326683759614,European Union and United Kingdom
2020,0.017115635934404114,European Union and United Kingdom
2021,0.016414174680542747,European Union and United Kingdom
2022,0.020304304928078103,European Union and United Kingdom
2010,0.21122112211221122,Rest of the world
2011,0.20555284948855335,Rest of the world
2012,0.20494417862838915,Rest of the world
2013,0.2079245283018868,Rest of the world
2014,0.17864271457085829,Rest of the world
2015,0.13257575757575757,Rest of the world
2016,0.16357181867831785,Rest of the world
2017,0.17090022353180248,Rest of the world
2018,0.17977667493796526,Rest of the world
2019,0.17860046276030267,Rest of the world
2020,0.19746216432696767,Rest of the world
2021,0.18653668818337504,Rest of the world
2022,0.1570684253345104,Rest of the world
2010,0.5412541254125413,United States
2011,0.47735021919142717,United States
2012,0.3787878787878788,United States
2013,0.3660377358490566,United States
2014,0.3586161011310712,United States
2015,0.3307109557109557,United States
2016,0.3544511196067723,United States
2017,0.3025807762649868,United States
2018,0.2076923076923077,United States
2019,0.20080045025326745,United States
2020,0.22937481556426795,United States
2021,0.21654590962982478,United States
2022,0.2090495231171349,United States
2010,0.16886688668866887,China
2011,0.2513395031660984,China
2012,0.36921850079744817,China
2013,0.3905660377358491,China
2014,0.4251497005988024,China
2015,0.5014568764568764,China
2016,0.4426542872747133,China
2017,0.49339565129038815,China
2018,0.5882133995037221,China
2019,0.5959602276280408,China
2020,0.5510307322625522,China
2021,0.5771835067843499,China
2022,0.6112928632012602,China
