Year,Number of notable machine learning models,Sector
2003,0,Academia–government collaboration
2004,0,Academia–government collaboration
2005,0,Academia–government collaboration
2006,0,Academia–government collaboration
2007,0,Academia–government collaboration
2008,0,Academia–government collaboration
2009,0,Academia–government collaboration
2010,0,Academia–government collaboration
2011,0,Academia–government collaboration
2012,0,Academia–government collaboration
2013,0,Academia–government collaboration
2014,0,Academia–government collaboration
2015,0,Academia–government collaboration
2016,0,Academia–government collaboration
2017,0,Academia–government collaboration
2018,1,Academia–government collaboration
2019,0,Academia–government collaboration
2020,0,Academia–government collaboration
2021,0,Academia–government collaboration
2022,0,Academia–government collaboration
2023,0,Academia–government collaboration
2003,0,Research collective
2004,0,Research collective
2005,0,Research collective
2006,0,Research collective
2007,0,Research collective
2008,0,Research collective
2009,0,Research collective
2010,0,Research collective
2011,0,Research collective
2012,0,Research collective
2013,0,Research collective
2014,0,Research collective
2015,0,Research collective
2016,0,Research collective
2017,0,Research collective
2018,0,Research collective
2019,1,Research collective
2020,0,Research collective
2021,0,Research collective
2022,1,Research collective
2023,0,Research collective
2003,0,Industry–research collective collaboration
2004,0,Industry–research collective collaboration
2005,0,Industry–research collective collaboration
2006,0,Industry–research collective collaboration
2007,0,Industry–research collective collaboration
2008,0,Industry–research collective collaboration
2009,0,Industry–research collective collaboration
2010,0,Industry–research collective collaboration
2011,0,Industry–research collective collaboration
2012,0,Industry–research collective collaboration
2013,0,Industry–research collective collaboration
2014,0,Industry–research collective collaboration
2015,0,Industry–research collective collaboration
2016,0,Industry–research collective collaboration
2017,0,Industry–research collective collaboration
2018,0,Industry–research collective collaboration
2019,0,Industry–research collective collaboration
2020,0,Industry–research collective collaboration
2021,0,Industry–research collective collaboration
2022,1,Industry–research collective collaboration
2023,0,Industry–research collective collaboration
2003,0,Government
2004,0,Government
2005,0,Government
2006,0,Government
2007,0,Government
2008,0,Government
2009,0,Government
2010,0,Government
2011,0,Government
2012,0,Government
2013,0,Government
2014,0,Government
2015,0,Government
2016,0,Government
2017,0,Government
2018,0,Government
2019,0,Government
2020,0,Government
2021,0,Government
2022,0,Government
2023,2,Government
2003,5,Academia
2004,1,Academia
2005,5,Academia
2006,10,Academia
2007,6,Academia
2008,5,Academia
2009,4,Academia
2010,12,Academia
2011,6,Academia
2012,9,Academia
2013,14,Academia
2014,15,Academia
2015,6,Academia
2016,21,Academia
2017,21,Academia
2018,12,Academia
2019,15,Academia
2020,13,Academia
2021,11,Academia
2022,13,Academia
2023,15,Academia
2003,0,Industry–academia collaboration
2004,0,Industry–academia collaboration
2005,0,Industry–academia collaboration
2006,1,Industry–academia collaboration
2007,0,Industry–academia collaboration
2008,1,Industry–academia collaboration
2009,2,Industry–academia collaboration
2010,0,Industry–academia collaboration
2011,3,Industry–academia collaboration
2012,2,Industry–academia collaboration
2013,2,Industry–academia collaboration
2014,8,Industry–academia collaboration
2015,9,Industry–academia collaboration
2016,7,Industry–academia collaboration
2017,13,Industry–academia collaboration
2018,14,Industry–academia collaboration
2019,19,Industry–academia collaboration
2020,12,Industry–academia collaboration
2021,15,Industry–academia collaboration
2022,18,Industry–academia collaboration
2023,21,Industry–academia collaboration
2003,1,Industry
2004,0,Industry
2005,0,Industry
2006,0,Industry
2007,1,Industry
2008,2,Industry
2009,6,Industry
2010,2,Industry
2011,0,Industry
2012,1,Industry
2013,4,Industry
2014,3,Industry
2015,12,Industry
2016,21,Industry
2017,23,Industry
2018,22,Industry
2019,35,Industry
2020,27,Industry
2021,43,Industry
2022,44,Industry
2023,51,Industry
