Year,Number of foundation models,Sector
2019,0.0,Industry-government collaboration
2020,0.0,Industry-government collaboration
2021,1.0,Industry-government collaboration
2022,0.0,Industry-government collaboration
2023,0.0,Industry-government collaboration
2019,0.0,Government
2020,0.0,Government
2021,0.0,Government
2022,1.0,Government
2023,4.0,Government
2019,0.0,Industry-academia collaboration
2020,0.0,Industry-academia collaboration
2021,0.0,Industry-academia collaboration
2022,2.0,Industry-academia collaboration
2023,9.0,Industry-academia collaboration
2019,0.0,Academia
2020,0.0,Academia
2021,4.0,Academia
2022,11.0,Academia
2023,28.0,Academia
2019,4.0,Industry
2020,2.0,Industry
2021,22.0,Industry
2022,58.0,Industry
2023,108.0,Industry
