Model,Publication date,Training cost (inflation-adjusted) in U.S. dollars
Gemini Ultra,2023-12-06,191400000.0
Falcon 180B,2023-09-06,25816323.797898500
Llama 2-70B,2023-07-18,3931897.156858600
StarCoder,2023-05-09,585626.3876555360
BloombergGPT,2023-03-30,952967.7278671260
GPT-4,2023-03-15,78352033.69393540
Falcon-40B,2023-03-15,810397.7528318870
LLaMA-65B,2023-02-24,1503762.8500200000
BLOOM-176B,2022-11-08,1990911.832381480
U-PaLM (540B),2022-10-20,12523793.100601700
PaLI,2022-09-14,254719.2576909220
GLM-130B,2022-08-04,1635572.685301020
Minerva (540B),2022-06-29,13470191.00856840
Imagen,2022-05-23,36199.03270294260
UL2,2022-05-10,561085.0069
OPT-175B,2022-05-02,1493974.647531920
Flamingo,2022-04-29,815069.4909087810
PaLM (540B),2022-04-04,12389056.261813500
LaMDA,2022-02-10,1319585.503057250
GPT-NeoX-20B,2022-02-09,310840.9894
XGLM-7.5B,2021-12-20,193060.0432091270
GLaM,2021-12-13,2093016.0239973600
Gopher (280B),2021-12-08,3499807.68
Florence,2021-11-22,172410.9443466960
T0-XXL,2021-10-15,64175.36890822580
Megatron-Turing NLG 530B,2021-10-11,6405652.563246980
HyperCLOVA,2021-09-10,986971.6222926450
ALIGN,2021-06-11,165500.13931537800
Meta Pseudo Labels,2021-03-01,251391.36
Switch,2021-01-11,619741.3696948560
GShard (dense),2020-06-30,969111.5896932520
GPT-3 175B (davinci),2020-05-28,4324882.624338620
Meena,2020-01-28,697110.2785525150
AlphaStar,2019-10-30,388902.65897940900
T5-11B,2019-10-23,236631.5547502240
Megatron-BERT,2019-09-17,881778.3356559140
Megatron-LM (8.3B),2019-09-17,216070.42339784900
RoBERTa Large,2019-07-01,160017.6468716090
SciBERT,2019-03-26,638.7439274047190
BERT-Large,2018-10-11,3287.6352902712500
BigGAN-deep 512x512,2018-09-28,11648.178852488700
Transformer (Adaptive Input Embeddings),2018-09-28,5358.051967420810
Big Transformer for Back-Translation,2018-08-28,4434.402272463770
IMPALA,2018-02-05,138.13091568449700
JFT,2017-07-10,33440.73321
Transformer,2017-06-12,929.9259291553130
Xception,2016-10-07,20285.332844036700
GNMT,2016-09-26,194739.1953027520
