Model,Training compute (petaFLOP),Training cost (inflation-adjusted) in U.S. dollars
Gemini Ultra,50000000001.0,191400000.0
Llama 2-70B,810000000.0,3931897.156858600
GPT-4,21000000000.0,78352033.69393540
PaLM (540B),2527200000.0,12389056.261813500
LaMDA,355000000.0,1319585.503057250
Megatron-Turing NLG 530B,1170000000.0,6405652.563246980
GPT-3 175B (davinci),314000000.0,4324882.624338620
RoBERTa Large,4153835.52,160017.6468716090
BERT-Large,285000.0,3287.6352902712500
Transformer,7424.5248,929.9259291553130
