Publication date,Number of parameters,Sector
12/1/23,23400000,Academia
10/26/23,675000000,Academia
10/11/23,13000000000,Academia
10/7/23,13000000000,Academia
9/12/23,500000,Academia
6/27/23,1600000,Academia
5/23/23,7000000000,Academia
3/30/23,13000000000,Academia
3/30/23,50558868480,Academia
3/2/23,675000000,Academia
1/27/23,295000000,Academia
1/16/23,1150000000,Academia
1/16/23,450000000,Academia
12/28/22,2700000000,Academia
12/19/22,86000000,Academia
10/31/22,1000000000,Academia
8/4/22,1.3E+11,Academia
6/6/22,750000000,Academia
5/29/22,9000000000,Academia
2/26/22,2700000000,Academia
1/23/22,420000000,Academia
1/22/22,355000000,Academia
10/31/21,249000000,Academia
10/17/21,274000000,Academia
9/6/21,33000000,Academia
8/11/21,1E+11,Academia
6/11/21,256000000,Academia
5/26/21,4000000000,Academia
5/25/21,345000000,Academia
5/20/21,17000000,Academia
2/18/21,1683456,Academia
12/1/20,2600000000,Academia
11/23/20,110000000,Academia
10/2/20,484000000,Academia
9/1/20,44000000,Academia
5/6/20,156000000,Academia
5/2/20,11000000000,Academia
5/2/20,11000000000,Academia
4/8/20,907264,Academia
3/17/20,85300000,Academia
2/8/20,240000000,Academia
12/5/19,75000000,Academia
11/27/19,141000000,Academia
9/6/19,38000000,Academia
7/22/19,23000000,Academia
6/10/19,35000000,Academia
6/4/19,257000000,Academia
5/14/19,34000000,Academia
4/17/19,257000000,Academia
1/4/19,36500000,Academia
1/1/19,56000000,Academia
11/15/18,7200000,Academia
9/24/18,2100000,Academia
5/3/18,51000000,Academia
4/14/18,8000000000,Academia
4/8/18,56933216,Academia
3/21/18,86000000,Academia
2/1/18,94000000,Academia
11/10/17,35000000,Academia
10/31/17,34000000,Academia
9/21/17,50000000,Academia
9/6/17,26000000,Academia
9/5/17,28100000,Academia
8/29/17,38000000,Academia
8/17/17,60000000,Academia
8/14/17,19000000,Academia
1/7/17,18200000,Academia
1/6/17,2500000,Academia
12/25/16,51000000,Academia
11/17/16,92000000,Academia
11/5/16,2600000,Academia
8/22/16,5480000,Academia
7/12/16,32000000,Academia
4/30/16,8970000,Academia
3/17/16,37000000,Academia
2/24/16,1200000,Academia
12/16/15,66000000,Academia
8/26/15,19000000,Academia
5/19/15,9106245,Academia
