Publication date,Training compute (petaFLOP),Sector
8/28/23,7600000,Academia
6/27/23,4490,Academia
3/30/23,236000000,Academia
3/2/23,600000,Academia
1/27/23,350000,Academia
1/16/23,6500000,Academia
1/16/23,2600000,Academia
12/28/22,849000,Academia
12/19/22,29000,Academia
10/31/22,51000000,Academia
8/4/22,377800000.00000006,Academia
6/6/22,11000,Academia
2/26/22,1100000,Academia
10/31/21,600000,Academia
10/17/21,7300,Academia
9/6/21,3100,Academia
6/11/21,380000,Academia
5/26/21,26800000,Academia
5/25/21,280000,Academia
5/20/21,8545.824,Academia
12/23/20,2099.52,Academia
12/1/20,1800000,Academia
11/23/20,124000,Academia
10/2/20,175799.808,Academia
9/1/20,9720,Academia
5/6/20,2890,Academia
5/2/20,38257.92,Academia
3/17/20,1580,Academia
2/8/20,27800,Academia
12/5/19,2320,Academia
11/27/19,6200,Academia
9/6/19,19400,Academia
6/10/19,328,Academia
6/4/19,7300,Academia
5/14/19,424,Academia
4/4/19,2560,Academia
2/23/19,37065.6,Academia
1/4/19,2470,Academia
11/15/18,2.01,Academia
9/24/18,1.02,Academia
5/3/18,127,Academia
4/8/18,50939.19992,Academia
11/10/17,437,Academia
10/31/17,98.5,Academia
8/29/17,474,Academia
8/14/17,10.6,Academia
1/6/17,14463.36,Academia
1/1/17,551000,Academia
11/17/16,64000,Academia
11/5/16,3468.6144,Academia
7/12/16,3.57,Academia
5/29/16,145.4112,Academia
5/29/16,96.9408,Academia
12/16/15,5.62,Academia
8/26/15,2.65,Academia
12/18/14,100,Academia
9/4/14,9253.44,Academia
9/1/14,1555.2,Academia
7/1/14,69,Academia
6/10/14,518.4,Academia
12/20/13,0.4752,Academia
11/12/13,532,Academia
9/22/13,137,Academia
8/4/13,4.21,Academia
9/30/12,470,Academia
6/3/12,6.0393708,Academia
6/3/12,273.1968,Academia
6/3/12,4.2687,Academia
2/13/12,3.7269792,Academia
9/26/10,3.414636,Academia
9/26/10,61.44,Academia
5/13/10,0.35,Academia
3/1/10,0.130788,Academia
6/15/09,1,Academia
8/1/05,0.024124576,Academia
3/15/03,1.30389876,Academia
12/6/23,80000000000.09999,Industry
11/30/23,1300000000,Industry
11/22/23,10010000000,Industry
11/15/23,180000000,Industry
11/2/23,610000000,Industry
10/30/23,250000000,Industry
10/27/23,1092000000,Industry
10/26/23,7920,Industry
9/7/23,80200000,Industry
8/30/23,53.37,Industry
7/18/23,810000000,Industry
7/18/23,83999999.99999999,Industry
7/11/23,3866000000,Industry
7/5/23,39800000,Industry
5/10/23,7340000000,Industry
4/5/23,7800000,Industry
3/20/23,466999999.99999994,Industry
3/15/23,21000000000,Industry
2/24/23,550000000,Industry
2/24/23,27800000.000000004,Industry
1/5/23,10100,Industry
11/28/22,2578000000,Industry
11/18/22,130000,Industry
11/16/22,324000000,Industry
10/20/22,2530000000,Industry
9/21/22,46500000,Industry
9/14/22,51000000,Industry
8/2/22,204374016,Industry
7/6/22,17511137.28,Industry
7/5/22,2720000,Industry
6/29/22,2741500000,Industry
6/22/22,396289537.6,Industry
6/14/22,73000000,Industry
5/23/22,14600000,Industry
5/12/22,5440000,Industry
5/10/22,120000000,Industry
5/2/22,430000000,Industry
4/29/22,270000000,Industry
4/14/22,60770.304,Industry
4/4/22,2527200000,Industry
3/29/22,576000000,Industry
2/10/22,355000000,Industry
2/2/22,156816000,Industry
12/20/21,43475927.04,Industry
12/13/21,374000000,Industry
12/8/21,631000000.0000001,Industry
11/22/21,48310000,Industry
11/19/21,41200000.00000001,Industry
10/12/21,353800000,Industry
10/11/21,1170000000,Industry
10/4/21,4350000,Industry
9/10/21,147600000,Industry
9/3/21,48960000,Industry
7/27/21,5540000,Industry
7/27/21,78000000,Industry
7/5/21,22500000,Industry
6/23/21,95600,Industry
6/11/21,25986700,Industry
6/10/21,6000000.000010001,Industry
6/9/21,42700000,Industry
6/8/21,3400000,Industry
5/28/21,81000000,Industry
5/26/21,24057.6,Industry
5/11/21,500000,Industry
4/19/21,35997696,Industry
3/5/21,5500000,Industry
3/1/21,47900000,Industry
2/24/21,11000,Industry
1/11/21,82200000,Industry
1/5/21,47000000,Industry
1/5/21,10499999.999999998,Industry
12/31/20,29100,Industry
11/30/20,2990000,Industry
10/22/20,1900000,Industry
10/22/20,12826000,Industry
10/20/20,78000000,Industry
10/20/20,7600000,Industry
6/30/20,12800000,Industry
6/17/20,32999999.999999996,Industry
6/17/20,8910000,Industry
5/28/20,314000000,Industry
5/26/20,400000,Industry
2/13/20,15699999.999999998,Industry
1/28/20,112000000,Industry
1/19/20,5400000,Industry
1/15/20,100000,Industry
12/13/19,13000000,Industry
12/13/19,67000000,Industry
11/19/19,48000,Industry
11/10/19,158000,Industry
10/30/19,59250000,Industry
10/23/19,32999999.999999996,Industry
10/23/19,865865.4069,Industry
10/2/19,12441.6,Industry
9/17/19,9100000,Industry
9/17/19,60270000,Industry
