Year,AI projects (% of total),Geographic area
2011,0.01893491124260360,China
2012,0.032570422535211300,China
2013,0.059057971014492800,China
2014,0.058554698657526400,China
2015,0.05743389683571740,China
2016,0.06675728511210220,China
2017,0.08249022572416230,China
2018,0.08847641144624900,China
2019,0.08799514777749230,China
2020,0.077621192249635,China
2021,0.06187474414818020,China
2022,0.03995920858310590,China
2023,0.030375841270683500,China
2011,0.2923076923076920,European Union and United Kingdom
2012,0.2720070422535210,European Union and United Kingdom
2013,0.2480072463768120,European Union and United Kingdom
2014,0.24014567266495300,European Union and United Kingdom
2015,0.22149978326831400,European Union and United Kingdom
2016,0.20790824118761100,European Union and United Kingdom
2017,0.1931077201793010,European Union and United Kingdom
2018,0.1836076188420660,European Union and United Kingdom
2019,0.1789395949227600,European Union and United Kingdom
2020,0.1760984014253550,European Union and United Kingdom
2021,0.17558794173247900,European Union and United Kingdom
2022,0.18224041045042300,European Union and United Kingdom
2023,0.17926803923129300,European Union and United Kingdom
2011,,India
2012,0.02992957746478870,India
2013,0.03641304347826090,India
2014,0.050485575549842900,India
2015,0.05489503994055360,India
2016,0.06382491294520130,India
2017,0.08867116472069220,India
2018,0.12008489361319400,India
2019,0.14408276558163000,India
2020,0.17699543441142300,India
2021,0.19654824272920900,India
2022,0.19457470632733700,India
2023,0.19011169775277900,India
2011,0.6047337278106510,United States
2012,0.5224471830985920,United States
2013,0.47807971014492800,United States
2014,0.45294201656669500,United States
2015,0.43894358783825600,United States
2016,0.4183823080212600,United States
2017,0.37180213002617600,United States
2018,0.33152394827245100,United States
2019,0.2976431069965990,United States
2020,0.2667281185815740,United States
2021,0.24044551563628300,United States
2022,0.23454360199131200,United States
2023,0.2293424380709810,United States
2011,0.08402366863905330,Rest of the world
2012,0.1430457746478870,Rest of the world
2013,0.17844202898550700,Rest of the world
2014,0.19787203656098300,Rest of the world
2015,0.22722769211715900,Rest of the world
2016,0.24312725273382600,Rest of the world
2017,0.2639287593496690,Rest of the world
2018,0.27630712782604000,Rest of the world
2019,0.2913393847215180,Rest of the world
2020,0.30255685333201400,Rest of the world
2021,0.3255435557538490,Rest of the world
2022,0.34868207264782300,Rest of the world
2023,0.3709019836742640,Rest of the world
