Year,Number of cumulative GitHub stars (in millions),Geographic area
2012,4E-05,India
2013,5.4E-05,India
2014,0.000871,India
2015,0.002072,India
2016,0.014806,India
2017,0.047292,India
2018,0.120888,India
2019,0.211823,India
2020,0.456217,India
2021,0.787304,India
2022,1.162029,India
2023,1.922334,India
2011,3.1E-05,China
2012,5.3E-05,China
2013,0.000323,China
2014,0.001289,China
2015,0.003502,China
2016,0.014105,China
2017,0.07929,China
2018,0.251059,China
2019,0.632049,China
2020,1.038022,China
2021,1.450847,China
2022,1.677412,China
2023,2.117721,China
2011,0.000617,European Union and United Kingdom
2012,0.000993,European Union and United Kingdom
2013,0.002139,European Union and United Kingdom
2014,0.007462,European Union and United Kingdom
2015,0.021924,European Union and United Kingdom
2016,0.080032,European Union and United Kingdom
2017,0.244618,European Union and United Kingdom
2018,0.518029,European Union and United Kingdom
2019,0.898428,European Union and United Kingdom
2020,1.36786,European Union and United Kingdom
2021,1.959476,European Union and United Kingdom
2022,2.691263,European Union and United Kingdom
2023,4.52931,European Union and United Kingdom
2011,0.000143,Rest of the world
2012,0.00045,Rest of the world
2013,0.006212,Rest of the world
2014,0.010384,Rest of the world
2015,0.020809,Rest of the world
2016,0.082081,Rest of the world
2017,0.258362,Rest of the world
2018,0.548971,Rest of the world
2019,0.995318,Rest of the world
2020,1.697088,Rest of the world
2021,2.586484,Rest of the world
2022,3.903587,Rest of the world
2023,7.859682,Rest of the world
2011,0.002684,United States
2012,0.005627,United States
2013,0.012818,United States
2014,0.031274,United States
2015,0.096863,United States
2016,0.263318,United States
2017,0.627126,United States
2018,1.18463,United States
2019,1.896721,United States
2020,2.864693,United States
2021,3.893647,United States
2022,5.235821,United States
2023,10.450421,United States
