Year,YoY Improvement,Benchmark
2017,0.2082585278276481,COCO
2018,0.008915304606240904,COCO
2019,0.05891016200294552,COCO
2020,0.03198887343532686,COCO
2021,0.0714285714285714,COCO
2022,0.030188679245283012,COCO
2016,0.24247226624405704,Cityscapes
2017,0.03698979591836715,Cityscapes
2019,0.03936039360393617,Cityscapes
2020,0.016568047337278236,Cityscapes
2021,0.0034924330616996624,Cityscapes
2022,0.003016241299303779,Cityscapes
2023,0.0023132084200787606,Cityscapes
2013,0.04739336492891,ImageNet Top 1
2014,0.12368024132730016,ImageNet Top 1
2015,0.0577181208053692,ImageNet Top 1
2016,0.02664974619289362,ImageNet Top 1
2017,0.024721878862793645,ImageNet Top 1
2018,0.030156815440289586,ImageNet Top 1
2019,0.025058548009367687,ImageNet Top 1
2020,0.030386109207219514,ImageNet Top 1
2021,0.007538802660753907,ImageNet Top 1
2022,0.001320422535211252,ImageNet Top 1
2023,0.015384615384615552,ImageNet Top 1
2019,0.07253886010362676,Kinetics-400
2020,0.009661835748792313,Kinetics-400
2021,0.04306220095693791,Kinetics-400
2022,0.044724770642201817,Kinetics-400
2020,0.05555555555555558,SuperGLUE
2021,0.021276595744680993,SuperGLUE
2022,0.0010964912280702066,SuperGLUE
2017,0.07990726429675421,VQA
2018,0.0024330900243310083,VQA
2019,0.0456881781838947,VQA
2020,0.007919169852539598,VQA
2021,0.12137632078027649,VQA
2022,0.01836192316984775,VQA
