Model,Year,CO2 equivalent emissions (tonnes),Parameters
Gopher (280B),2021,352,2.8E+11
BLOOM (176B),2022,25,1.76E+11
GPT-3 (175B),2020,502,1.75E+11
OPT (175B),2022,70,1.75E+11
Llama 2 (70B),2023,291.42,70000000000
Llama 2 (34B),2023,153.9,34000000000
Llama 2 (13B),2023,62.44,13000000000
Llama 2 (7B),2023,31.22,7000000000
Granite (13B),2023,22.23,13000000000
Starcoder (15.5B),2023,16.68,15500000000
Luminous Base (13B),2023,3.17,13000000000
Luminous Extended (30B),2023,11.95,30000000000
