Model,Year,GPT,Accuracy
PNL-MLP,2012,no,0.75
Slope,2017,no,0.75
davinci,2019,yes,0.48
text-ada-001,2019,yes,0.49
ada,2019,yes,0.5
text-babbage-001,2019,yes,0.5
text-curie-001,2019,yes,0.5
text-davinci-001,2019,yes,0.5
babbage,2019,yes,0.51
curie,2019,yes,0.51
bQCD,2020,no,0.68
Mosaic,2020,no,0.833
text-davinci-002,2021,yes,0.79
GPT-3.5-turbo,2021,yes,0.81
text-davinci-003,2021,yes,0.82
GPT-3.5-turbo<br>(causal agent),2021,yes,0.86
GPT-3.5-turbo<br>(single prompt),2021,yes,0.89
LMPrior,2022,no,0.83
GPT-4<br>(single prompt),2023,yes,0.96
