Risk,Region,% of respondents
Privacy and data governance,Rest of the world,51%
Reliability,Rest of the world,55%
Security,Rest of the world,51%
Transparency,Rest of the world,43%
Fairness,Rest of the world,28%
Privacy and data governance,Latin America,52%
Reliability,Latin America,37%
Security,Latin America,43%
Transparency,Latin America,44%
Fairness,Latin America,33%
Privacy and data governance,North America,42%
Reliability,North America,47%
Security,North America,49%
Transparency,North America,43%
Fairness,North America,20%
Privacy and data governance,Asia,55%
Reliability,Asia,41%
Security,Asia,51%
Transparency,Asia,38%
Fairness,Asia,31%
Privacy and data governance,Europe,56%
Reliability,Europe,45%
Security,Europe,42%
Transparency,Europe,49%
Fairness,Europe,34%
