Industry (avg. Number of measures adopted),Response,% of respondents
Financial services (2.24),None,10%
"Communication, media,<br>and technology (2.52)",None,7%
Resources (2.25),None,6%
Healthcare and<br>life sciences (2.20),None,9%
Products (2.09),None,18%
"Aerospace, automotive,<br>and transport (1.96)",None,10%
Financial services (2.24),1–49%,76%
"Communication, media,<br>and technology (2.52)",1–49%,69%
Resources (2.25),1–49%,84%
Healthcare and<br>life sciences (2.20),1–49%,82%
Products (2.09),1–49%,66%
"Aerospace, automotive,<br>and transport (1.96)",1–49%,81%
Financial services (2.24),50–99%,13%
"Communication, media,<br>and technology (2.52)",50–99%,24%
Resources (2.25),50–99%,9%
Healthcare and<br>life sciences (2.20),50–99%,9%
Products (2.09),50–99%,14%
"Aerospace, automotive,<br>and transport (1.96)",50–99%,9%
Financial services (2.24),None,1%
"Communication, media,<br>and technology (2.52)",None,0%
Resources (2.25),None,0%
Healthcare and<br>life sciences (2.20),None,0%
Products (2.09),None,2%
"Aerospace, automotive,<br>and transport (1.96)",None,0%
