Region (avg. number of measures adopted),Response,% of respondents
Europe (2.27), None,9%
North America (2.05), None,9%
Asia (2.13), None,12%
Rest of the world (2.23), None,17%
Latin America (2.06), None,24%
Europe (2.27),1–49%,77%
North America (2.05),1–49%,83%
Asia (2.13),1–49%,74%
Rest of the world (2.23),1–49%,65%
Latin America (2.06),1–49%,61%
Europe (2.27),50–99%,14%
North America (2.05),50–99%,8%
Asia (2.13),50–99%,13%
Rest of the world (2.23),50–99%,15%
Latin America (2.06),50–99%,9%
Europe (2.27),All,0%
North America (2.05),All,1%
Asia (2.13),All,1%
Rest of the world (2.23),All,3%
Latin America (2.06),All,6%
