Statement,Response,% of respondents
"Companies that develop foundation models will be responsible for the mitigation of all
associated risks, rather than organizations using these models/systems.",Strongly disagree,0%
I believe that generative AI presents enough of a threat that globally agreed generative AI governance is required.,Strongly disagree,1%
"Companies that develop foundation models will be responsible for the mitigation of all
associated risks, rather than organizations using these models/systems.",Disagree,2%
I believe that generative AI presents enough of a threat that globally agreed generative AI governance is required.,Disagree,5%
"Companies that develop foundation models will be responsible for the mitigation of all
associated risks, rather than organizations using these models/systems.",Neither disagree nor agree,8%
I believe that generative AI presents enough of a threat that globally agreed generative AI governance is required.,Neither disagree nor agree,6%
"Companies that develop foundation models will be responsible for the mitigation of all
associated risks, rather than organizations using these models/systems.",Agree,47%
I believe that generative AI presents enough of a threat that globally agreed generative AI governance is required.,Agree,45%
"Companies that develop foundation models will be responsible for the mitigation of all
associated risks, rather than organizations using these models/systems.",Strongly agree,41%
I believe that generative AI presents enough of a threat that globally agreed generative AI governance is required.,Strongly agree,41%
"Companies that develop foundation models will be responsible for the mitigation of all
associated risks, rather than organizations using these models/systems.",Not sure,2%
I believe that generative AI presents enough of a threat that globally agreed generative AI governance is required.,Not sure,2%
