Industry (avg. number of measures adopted),Response,% of respondents
Financial services (2.16),None,7%
"Communication, media, and technology (1.96)",None,11%
Resources (1.93),None,4%
Healthcare and life sciences (1.80),None,9%
Products (1.88),None,15%
"Aerospace, automotive, and transport (2.09)",None,6%
Financial services (2.16),1–49%,58%
"Communication, media, and technology (1.96)",1–49%,61%
Resources (1.93),1–49%,71%
Healthcare and life sciences (1.80),1–49%,69%
Products (1.88),1–49%,52%
"Aerospace, automotive, and transport (2.09)",1–49%,58%
Financial services (2.16),50–99%,33%
"Communication, media, and technology (1.96)",50–99%,27%
Resources (1.93),50–99%,25%
Healthcare and life sciences (1.80),50–99%,23%
Products (1.88),50–99%,33%
"Aerospace, automotive, and transport (2.09)",50–99%,35%
Financial services (2.16),All,2%
"Communication, media, and technology (1.96)",All,2%
Resources (1.93),All,0%
Healthcare and life sciences (1.80),All,0%
Products (1.88),All,0%
"Aerospace, automotive, and transport (2.09)",All,0%
