Country,Similarity
Denmark,0.51
Belgium,0.57
Pakistan,0.59
China,0.59
Jordan,0.59
Greece,0.6
Egypt,0.6
Malaysia,0.61
Nigeria,0.61
Turkey,0.62
Indonesia,0.62
Hungary,0.62
Tunisia,0.62
Marocco,0.62
Burkina Faso,0.62
Kuwait,0.62
Netherlands,0.62
Kenya,0.63
Lebanon,0.63
Russia,0.63
Vietnam,0.63
Sweden,0.63
Mali,0.63
Senegal,0.63
Philippines,0.63
Lithuania,0.64
Bolivia,0.64
Australia,0.64
Uganda,0.64
Venezuela,0.64
Bangladesh,0.64
Ethiopia,0.64
Ghana,0.64
Taiwan,0.65
Mexico,0.65
Ukraine,0.65
Italy,0.65
Nicaragua,0.65
Colombia,0.65
Argentina,0.65
Thailand,0.65
Uzbekistan,0.66
USA,0.66
Angola,0.66
Brazil,0.66
Canada,0.66
Poland,0.66
France,0.66
Spain,0.66
Peru,0.67
England,0.67
Bulgaria,0.67
Germany,0.67
Chile,0.68
Japan,0.69
