Developer type,Median Salary (in thousands),Label
"Senior executive (C-suite, VP, etc.)",124.7535,All respondents
Engineering manager,124.138,All respondents
Marketing or sales professional,116,All respondents
"Engineer, site reliability",115.657,All respondents
Developer experience,107.09,All respondents
Cloud infrastructure engineer,105,All respondents
Blockchain,103.743,All respondents
Developer advocate,100.3125,All respondents
Security professional,99.311,All respondents
Scientist,92.321,All respondents
Product manager,88.934,All respondents
Hardware engineer,85.672,All respondents
Research and development role,85.672,All respondents
"Engineer, data",83.515,All respondents
Data scientist or >machine learning specialist,80.317,All respondents
DevOps specialist,80.1585,All respondents
Database administrator,78.6865,All respondents
"Developer, embedded >applications or devices",77.104,All respondents
"Developer, back-end",76.034,All respondents
"Developer, full-stack",71.14,All respondents
"Developer, game or graphics",71.007,All respondents
"Developer, desktop or >enterprise applications",70.759,All respondents
"Developer, mobile",68.1925,All respondents
Educator,65.2695,All respondents
"Developer, QA or test",63.927,All respondents
Project manager,63.183,All respondents
Data or business analyst,61.555,All respondents
"Developer, front-end",59.97,All respondents
Designer,59.815,All respondents
System administrator,55.764,All respondents
Academic researcher,53.545,All respondents
Student,15.421,All respondents
"Senior executive (C-suite, VP, etc.)",220,United States
Developer experience,210,United States
Product manager,198.5,United States
Engineering manager,195,United States
Cloud infrastructure engineer,185,United States
"Engineer, site reliability",180,United States
Security professional,173,United States
"Developer, back-end",165,United States
"Developer, mobile",163,United States
Data scientist or >machine learning specialist,160,United States
DevOps specialist,160,United States
"Engineer, data",160,United States
Research and development role,160,United States
"Developer, game or graphics",158,United States
Designer,151,United States
"Developer, embedded >applications or devices",140,United States
"Developer, front-end",140,United States
"Developer, full-stack",140,United States
Hardware engineer,140,United States
Scientist,132.5,United States
"Developer, desktop or >enterprise applications",130,United States
Project manager,125,United States
"Developer, QA or test",124,United States
Database administrator,120,United States
Data or business analyst,105,United States
Educator,100,United States
Academic researcher,90,United States
System administrator,87.5,United States
