Function,Label,% of respondents
Product and/or service development,AI,24%
Marketing and sales,AI,23%
Service operations,AI,23%
Risk,AI,10%
Strategy and corporate finance,AI,9%
Human resources,AI,9%
Supply-chain management,AI,9%
Manufacturing,AI,8%
Product and/or service development,GenAI,13%
Marketing and sales,GenAI,14%
Service operations,GenAI,10%
Risk,GenAI,4%
Strategy and corporate finance,GenAI,4%
Human resources,GenAI,3%
Supply-chain management,GenAI,3%
Manufacturing,GenAI,2%
