% of respondents,AI use case,Function
26%,Contact-center automation,Service operations
19%,Service operations optimization,Service operations
16%,Predictive service and intervention,Service operations
22%,AI-based enhancements of products,R&D/product development
19%,Creation of new AI-based products,R&D/product development
19%,Product feature optimization,R&D/product development
23%,Personalization,Marketing and sales
22%,Customer acquisition,Marketing and sales
17%,Customer-service analytics,Marketing and sales
17%,Sales,Marketing and sales
