Industry,Function,% of respondents
All industries,Human resources,9%
"Business, legal, and professional services",Human resources,9%
Consumer goods/retail,Human resources,7%
Financial services,Human resources,9%
Healthcare systems/pharma and med. products,Human resources,5%
"Tech, media, and telecom",Human resources,14%
All industries,Manufacturing,6%
"Business, legal, and professional services",Manufacturing,5%
Consumer goods/retail,Manufacturing,9%
Financial services,Manufacturing,1%
Healthcare systems/pharma and med. products,Manufacturing,7%
"Tech, media, and telecom",Manufacturing,6%
All industries,Marketing and sales,25%
"Business, legal, and professional services",Marketing and sales,28%
Consumer goods/retail,Marketing and sales,31%
Financial services,Marketing and sales,22%
Healthcare systems/pharma and med. products,Marketing and sales,8%
"Tech, media, and telecom",Marketing and sales,36%
All industries,Product and/or service development,26%
"Business, legal, and professional services",Product and/or service development,24%
Consumer goods/retail,Product and/or service development,15%
Financial services,Product and/or service development,20%
Healthcare systems/pharma and med. products,Product and/or service development,26%
"Tech, media, and telecom",Product and/or service development,44%
All industries,Risk,12%
"Business, legal, and professional services",Risk,10%
Consumer goods/retail,Risk,6%
Financial services,Risk,28%
Healthcare systems/pharma and med. products,Risk,7%
"Tech, media, and telecom",Risk,7%
All industries,Service operations,24%
"Business, legal, and professional services",Service operations,19%
Consumer goods/retail,Service operations,22%
Financial services,Service operations,31%
Healthcare systems/pharma and med. products,Service operations,15%
"Tech, media, and telecom",Service operations,36%
All industries,Strategy and corporate finance,8%
"Business, legal, and professional services",Strategy and corporate finance,13%
Consumer goods/retail,Strategy and corporate finance,2%
Financial services,Strategy and corporate finance,14%
Healthcare systems/pharma and med. products,Strategy and corporate finance,6%
"Tech, media, and telecom",Strategy and corporate finance,6%
All industries,Supply-chain management,9%
"Business, legal, and professional services",Supply-chain management,6%
Consumer goods/retail,Supply-chain management,14%
Financial services,Supply-chain management,4%
Healthcare systems/pharma and med. products,Supply-chain management,11%
"Tech, media, and telecom",Supply-chain management,9%
