Industry,Function,Percentage point change in responses
All industries,Human resources,-2%
"Business, legal, and professional services",Human resources,-2%
Consumer goods/retail,Human resources,-7%
Financial services,Human resources,8%
Healthcare systems/pharma and med. products,Human resources,-10%
"Tech, media, and telecom",Human resources,8%
All industries,Manufacturing,0%
"Business, legal, and professional services",Manufacturing,-5%
Consumer goods/retail,Manufacturing,5%
Financial services,Manufacturing,-7%
Healthcare systems/pharma and med. products,Manufacturing,0%
"Tech, media, and telecom",Manufacturing,0%
All industries,Marketing and sales,18%
"Business, legal, and professional services",Marketing and sales,19%
Consumer goods/retail,Marketing and sales,28%
Financial services,Marketing and sales,15%
Healthcare systems/pharma and med. products,Marketing and sales,6%
"Tech, media, and telecom",Marketing and sales,32%
All industries,Product and/or service development,14%
"Business, legal, and professional services",Product and/or service development,16%
Consumer goods/retail,Product and/or service development,11%
Financial services,Product and/or service development,-11%
Healthcare systems/pharma and med. products,Product and/or service development,22%
"Tech, media, and telecom",Product and/or service development,37%
All industries,Risk,-9%
"Business, legal, and professional services",Risk,-6%
Consumer goods/retail,Risk,-9%
Financial services,Risk,11%
Healthcare systems/pharma and med. products,Risk,-15%
"Tech, media, and telecom",Risk,-31%
All industries,Service operations,4%
"Business, legal, and professional services",Service operations,-1%
Consumer goods/retail,Service operations,-9%
Financial services,Service operations,7%
Healthcare systems/pharma and med. products,Service operations,3%
"Tech, media, and telecom",Service operations,15%
All industries,Strategy and corporate finance,-12%
"Business, legal, and professional services",Strategy and corporate finance,-6%
Consumer goods/retail,Strategy and corporate finance,-27%
Financial services,Strategy and corporate finance,-9%
Healthcare systems/pharma and med. products,Strategy and corporate finance,-2%
"Tech, media, and telecom",Strategy and corporate finance,-19%
All industries,Supply-chain management,0%
"Business, legal, and professional services",Supply-chain management,-6%
Consumer goods/retail,Supply-chain management,3%
Financial services,Supply-chain management,2%
Healthcare systems/pharma and med. products,Supply-chain management,3%
"Tech, media, and telecom",Supply-chain management,1%
