Function,Variable,% of respondents
Service Operations,Decrease by <10%,34.0%
Service Operations,Decrease by 10–19%,12.0%
Service Operations,Decrease by ≥20%,8.0%
Service Operations,Total Decrease,54.0%
Manufacturing,Decrease by <10%,41.0%
Manufacturing,Decrease by 10–19%,14.0%
Manufacturing,Decrease by ≥20%,0.4%
Manufacturing,Total Decrease,55.4%
Human Resources,Decrease by <10%,26.0%
Human Resources,Decrease by 10–19%,10.0%
Human Resources,Decrease by ≥20%,4.0%
Human Resources,Total Decrease,40.0%
Marketing and Sales,Decrease by <10%,26.0%
Marketing and Sales,Decrease by 10–19%,11.0%
Marketing and Sales,Decrease by ≥20%,4.0%
Marketing and Sales,Total Decrease,41.0%
Risk,Decrease by <10%,26.0%
Risk,Decrease by 10–19%,13.0%
Risk,Decrease by ≥20%,5.0%
Risk,Total Decrease,44.0%
Supply Chain Management,Decrease by <10%,24.0%
Supply Chain Management,Decrease by 10–19%,9.0%
Supply Chain Management,Decrease by ≥20%,0.4%
Supply Chain Management,Total Decrease,33.4%
R&D/product and/or service development,Decrease by <10%,18.0%
R&D/product and/or service development,Decrease by 10–19%,9.0%
R&D/product and/or service development,Decrease by ≥20%,4.0%
R&D/product and/or service development,Total Decrease,31.0%
Strategy and Corporate Finance,Decrease by <10%,19.0%
Strategy and Corporate Finance,Decrease by 10–19%,5.0%
Strategy and Corporate Finance,Decrease by ≥20%,7.0%
Strategy and Corporate Finance,Total Decrease,31.0%
Average Across All Activities,Decrease by <10%,28.0%
Average Across All Activities,Decrease by 10–19%,10.0%
Average Across All Activities,Decrease by ≥20%,4.0%
Average Across All Activities,Total Decrease,42.0%
Service Operations,Total Increase,57.0%
Service Operations,Increase by ≤5%,33.0%
Service Operations,Increase by 6–10%,14.0%
Service Operations,Increase by >10%,10.0%
Manufacturing,Total Increase,66.0%
Manufacturing,Increase by ≤5%,34.0%
Manufacturing,Increase by 6–10%,16.0%
Manufacturing,Increase by >10%,16.0%
Human Resources,Total Increase,60.0%
Human Resources,Increase by ≤5%,17.0%
Human Resources,Increase by 6–10%,34.0%
Human Resources,Increase by >10%,9.0%
Marketing and Sales,Total Increase,65.0%
Marketing and Sales,Increase by ≤5%,38.0%
Marketing and Sales,Increase by 6–10%,19.0%
Marketing and Sales,Increase by >10%,8.0%
Risk,Total Increase,64.0%
Risk,Increase by ≤5%,35.0%
Risk,Increase by 6–10%,16.0%
Risk,Increase by >10%,13.0%
Supply Chain Management,Total Increase,56.0%
Supply Chain Management,Increase by ≤5%,30.0%
Supply Chain Management,Increase by 6–10%,23.0%
Supply Chain Management,Increase by >10%,3.0%
R&D/product and/or service development,Total Increase,61.0%
R&D/product and/or service development,Increase by ≤5%,24.0%
R&D/product and/or service development,Increase by 6–10%,25.0%
R&D/product and/or service development,Increase by >10%,12.0%
Strategy and Corporate Finance,Total Increase,58.0%
Strategy and Corporate Finance,Increase by ≤5%,32.0%
Strategy and Corporate Finance,Increase by 6–10%,16.0%
Strategy and Corporate Finance,Increase by >10%,10.0%
Average Across All Activities,Total Increase,59.0%
Average Across All Activities,Increase by ≤5%,35.0%
Average Across All Activities,Increase by 6–10%,18.0%
Average Across All Activities,Increase by >10%,6.0%
