Lead time (days),RMSE (m²/s²) ↓,Label
0.5,29.151295,GraphCast
1.0,43.93064,GraphCast
1.5,61.778156,GraphCast
2.0,82.6142,GraphCast
2.5,107.41206,GraphCast
3.0,136.07022,GraphCast
3.5,168.86568,GraphCast
4.0,205.80066,GraphCast
4.5,246.86444,GraphCast
5.0,291.236,GraphCast
5.5,338.2262,GraphCast
6.0,386.94916,GraphCast
6.5,436.45215,GraphCast
7.0,486.27707,GraphCast
7.5,535.7065,GraphCast
8.0,583.4346,GraphCast
8.5,628.6386,GraphCast
9.0,671.5887,GraphCast
9.5,711.6935,GraphCast
10.0,748.1265,GraphCast
0.5,34.085278,HRES (06z/18z)
1.0,47.76901,HRES (06z/18z)
1.5,67.68334,HRES (06z/18z)
2.0,90.41574,HRES (06z/18z)
2.5,117.28152,HRES (06z/18z)
3.0,149.22679,HRES (06z/18z)
3.5,186.13977,HRES (06z/18z)
3.5,183.2587,HRES (00z/12z)
4.0,224.61511,HRES (00z/12z)
4.5,270.96298,HRES (00z/12z)
5.0,321.28387,HRES (00z/12z)
5.5,374.32736,HRES (00z/12z)
6.0,428.7013,HRES (00z/12z)
6.5,483.35797,HRES (00z/12z)
7.0,537.93396,HRES (00z/12z)
7.5,592.2647,HRES (00z/12z)
8.0,644.1208,HRES (00z/12z)
8.5,692.49347,HRES (00z/12z)
9.0,736.99164,HRES (00z/12z)
9.5,777.11816,HRES (00z/12z)
10.0,814.64777,HRES (00z/12z)
