Benchmark,Year,Model,Accuracy (%)
PubMedQA,2022,Flan-PaLM 540B,79.00%
MedMCQA,2022,Flan-PaLM 540B,57.60%
MMLU,2022,Flan-PaLM 540B,78.02%
MedQA,2022,Flan-PaLM 540B,67.60%
PubMedQA,2023,Med-PaLM 2,81.80%
MedMCQA,2023,Med-PaLM 2,72.30%
MMLU,2023,Med-PaLM 2,89.88%
MedQA,2023,Med-PaLM 2,86.50%
PubMedQA,2023,GPT-4,75.20%
MedMCQA,2023,GPT-4,72.40%
MMLU,2023,GPT-4,87.37%
MedQA,2023,GPT-4,81.40%
PubMedQA,2023,GPT-4 Medprompt,82.00%
MedMCQA,2023,GPT-4 Medprompt,79.10%
MMLU,2023,GPT-4 Medprompt,94.25%
MedQA,2023,GPT-4 Medprompt,90.20%
