Year,Medical specialty,Number of AI medical devices approved
2022,Radiology,121
2021,Radiology,105
2020,Radiology,94
2019,Radiology,51
2018,Radiology,39
2017,Radiology,15
2019,Cardiovascular,12
2021,Cardiovascular,11
2016,Radiology,11
2022,Cardiovascular,10
2018,Cardiovascular,9
2020,Cardiovascular,7
2017,Cardiovascular,6
2014,Radiology,5
2016,Cardiovascular,4
2019,Neurology,4
2018,Neurology,4
2021,Gastroenterology and urology,3
2020,Hematology,3
2019,Microbiology,2
2019,General hospital,2
2013,Microbiology,2
2018,General and plastic surgery,2
2012,Radiology,2
2018,Ophthalmic,2
2018,Hematology,2
2021,Neurology,2
2018,Clinical chemistry,2
2017,Hematology,2
2022,Neurology,2
2022,Ophthalmic,2
2020,Anesthesiology,1
2021,Ophthalmic,1
2021,General and plastic surgery,1
2021,Pathology,1
2013,Hematology,1
2022,Clinical chemistry,1
2022,Ear nose and throat,1
2022,Gastroenterology and urology,1
2020,Ophthalmic,1
2022,Hematology,1
2020,Microbiology,1
2015,Cardiovascular,1
2019,General and plastic surgery,1
2014,Neurology,1
2019,Ophthalmic,1
2015,General hospital,1
2015,Ophthalmic,1
2016,Clinical chemistry,1
2016,General and plastic surgery,1
2016,Neurology,1
2017,Anesthesiology,1
2017,Gastroenterology and urology,1
2017,Neurology,1
2015,Anesthesiology,1
2018,Dental,1
2018,Gastroenterology and urology,1
2018,Orthopedic,1
2019,Clinical chemistry,1
2019,Gastroenterology and urology,1
2015,Clinical chemistry,1
2019,Hematology,1
2019,Obstetrics and gynecology,1
2012,Pathology,1
