Year,Faculty type,Number of CS faculty
2011,Postdoc,522
2011,Research,387
2011,Tenure Track,3455
2011,Teaching Professors,521
2012,Research,460
2012,Tenure Track,3725
2012,Teaching Professors,550
2012,Postdoc,521
2013,Teaching Professors,421
2013,Tenure Track,3564
2013,Postdoc,592
2013,Research,491
2014,Teaching Professors,679
2014,Research,455
2014,Tenure Track,3559
2014,Postdoc,509
2015,Teaching Professors,826
2015,Research,396
2015,Tenure Track,3880
2015,Postdoc,535
2016,Teaching Professors,903
2016,Tenure Track,3971
2016,Postdoc,491
2016,Research,364
2017,Research,408
2017,Postdoc,567
2017,Tenure Track,4176
2017,Teaching Professors,947
2018,Tenure Track,4366
2018,Postdoc,531
2018,Other Instructors,436
2018,Teaching Professors,671
2018,Research,426
2019,Teaching Professors,715
2019,Other Instructors,534
2019,Research,382
2019,Tenure Track,4384
2019,Postdoc,518
2020,Research,276
2020,Teaching Professors,946
2020,Tenure Track,4390
2020,Other Instructors,618
2020,Postdoc,424
2021,Tenure Track,4482
2021,Teaching Professors,899
2021,Research,287
2021,Other Instructors,693
2021,Postdoc,428
2022,Postdoc,453
2022,Teaching Professors,947
2022,Other Instructors,736
2022,Research,291
2022,Tenure Track,4657
