Year,Source,Source of new faculty (% of total)
2022,New PhD,34%
2021,New PhD,40%
2020,New PhD,39%
2019,New PhD,29%
2018,New PhD,38%
2022,From Postdoc,16%
2021,From Postdoc,15%
2020,From Postdoc,16%
2019,From Postdoc,17%
2018,From Postdoc,15%
2022,From other academic,43%
2021,From other academic,34%
2020,From other academic,34%
2019,From other academic,41%
2018,From other academic,34%
2022,From industry,7%
2021,From industry,11%
2020,From industry,11%
2019,From industry,13%
2018,From industry,13%
