Reason,Year,Reason faculty position remained unfilled (% of total)
Didn't find a person who met our hiring goals,2022,15%
Offers turned down,2022,55%
"Technically vacant, not filled for admin reasons",2022,4%
Hiring in progress,2022,23%
Other,2022,3%
Didn't find a person who met our hiring goals,2021,14%
Offers turned down,2021,53%
"Technically vacant, not filled for admin reasons",2021,6%
Hiring in progress,2021,22%
Other,2021,5%
Didn't find a person who met our hiring goals,2020,8%
Offers turned down,2020,44%
"Technically vacant, not filled for admin reasons",2020,12%
Hiring in progress,2020,18%
Other,2020,18%
Didn't find a person who met our hiring goals,2019,13%
Offers turned down,2019,56%
"Technically vacant, not filled for admin reasons",2019,5%
Hiring in progress,2019,23%
Other,2019,3%
Didn't find a person who met our hiring goals,2018,14%
Offers turned down,2018,51%
"Technically vacant, not filled for admin reasons",2018,3%
Hiring in progress,2018,27%
Other,2018,5%
Didn't find a person who met our hiring goals,2017,14%
Offers turned down,2017,52%
"Technically vacant, not filled for admin reasons",2017,2%
Hiring in progress,2017,28%
Other,2017,4%
Didn't find a person who met our hiring goals,2016,16%
Offers turned down,2016,43%
"Technically vacant, not filled for admin reasons",2016,6%
Hiring in progress,2016,31%
Other,2016,4%
Didn't find a person who met our hiring goals,2015,26%
Offers turned down,2015,40%
"Technically vacant, not filled for admin reasons",2015,5%
Hiring in progress,2015,26%
Other,2015,2%
Didn't find a person who met our hiring goals,2014,26%
Offers turned down,2014,36%
"Technically vacant, not filled for admin reasons",2014,10%
Hiring in progress,2014,25%
Other,2014,3%
Didn't find a person who met our hiring goals,2013,37%
Offers turned down,2013,55%
"Technically vacant, not filled for admin reasons",2013,4%
Hiring in progress,2013,3%
Other,2013,1%
Didn't find a person who met our hiring goals,2012,37%
Offers turned down,2012,45%
"Technically vacant, not filled for admin reasons",2012,10%
Hiring in progress,2012,4%
Other,2012,4%
Didn't find a person who met our hiring goals,2011,37%
Offers turned down,2011,34%
"Technically vacant, not filled for admin reasons",2011,17%
Hiring in progress,2011,10%
Other,2011,2%
