Country,Number of AI university study programs in English,Year
United Kingdom,665,2022
United States,630,2022
Canada,87,2022
Australia,83,2022
Germany,52,2022
France,60,2022
Netherlands,55,2022
India,44,2022
Ireland,42,2022
Spain,38,2022
Italy,33,2022
Malaysia,36,2022
United Arab Emirates,28,2022
Sweden,32,2022
China,38,2022
United Kingdom,744,2023
United States,667,2023
Canada,89,2023
Australia,84,2023
Germany,80,2023
France,69,2023
Netherlands,59,2023
India,45,2023
Ireland,44,2023
Spain,43,2023
Italy,40,2023
Malaysia,39,2023
United Arab Emirates,38,2023
Sweden,37,2023
China,32,2023
