Country,"Number of AI university study programs in English (per 100,000 inhabitants)",Year
Malta,1.54,2022
United Kingdom,0.99,2022
Cyprus,1.11,2022
Ireland,0.83,2022
Lithuania,0.46,2022
United Arab Emirates,0.30,2022
Sweden,0.31,2022
Finland,0.31,2022
Netherlands,0.31,2022
Australia,0.32,2022
Norway,0.26,2022
Latvia,0.16,2022
Iceland,0.27,2022
Canada,0.22,2022
United States,0.19,2022
Malta,2.03,2023
United Kingdom,1.10,2023
Cyprus,0.98,2023
Ireland,0.85,2023
Lithuania,0.52,2023
United Arab Emirates,0.40,2023
Sweden,0.35,2023
Finland,0.34,2023
Netherlands,0.33,2023
Australia,0.32,2023
Norway,0.27,2023
Latvia,0.27,2023
Iceland,0.26,2023
Canada,0.22,2023
United States,0.20,2023
