Year,New AI PhD graduates (% of total),Sector
2010,3.51%,Government
2011,4.55%,Government
2012,3.24%,Government
2013,4.67%,Government
2014,5.37%,Government
2015,2.99%,Government
2016,1.77%,Government
2017,0.99%,Government
2018,1.15%,Government
2019,1.46%,Government
2020,1.97%,Government
2021,0.67%,Government
2022,0.76%,Government
2010,42.11%,Academia
2011,40.91%,Academia
2012,25.41%,Academia
2013,34.00%,Academia
2014,28.86%,Academia
2015,31.34%,Academia
2016,27.88%,Academia
2017,29.56%,Academia
2018,27.97%,Academia
2019,23.72%,Academia
2020,24.02%,Academia
2021,28.19%,Academia
2022,19.95%,Academia
2010,44.44%,Industry
2011,41.56%,Industry
2012,54.59%,Industry
2013,49.33%,Industry
2014,57.05%,Industry
2015,57.46%,Industry
2016,59.29%,Industry
2017,57.14%,Industry
2018,62.07%,Industry
2019,65.69%,Industry
2020,60.24%,Industry
2021,65.44%,Industry
2022,70.71%,Industry
