Year,"Number of CS, CE, and information faculty",Position
2011,4366,Tenure Track
2012,4536,Tenure Track
2013,4549,Tenure Track
2014,4548,Tenure Track
2015,4711,Tenure Track
2016,4786,Tenure Track
2017,5059,Tenure Track
2018,5214,Tenure Track
2019,5252,Tenure Track
2020,5231,Tenure Track
2021,5310,Tenure Track
2022,5733,Tenure Track
2011,669,Teaching Professors
2012,661,Teaching Professors
2013,487,Teaching Professors
2014,863,Teaching Professors
2015,1014,Teaching Professors
2016,1122,Teaching Professors
2017,1180,Teaching Professors
2018,831,Teaching Professors
2019,895,Teaching Professors
2020,1183,Teaching Professors
2021,1150,Teaching Professors
2022,1252,Teaching Professors
2018,494,Other Instructors
2019,617,Other Instructors
2020,736,Other Instructors
2021,861,Other Instructors
2022,919,Other Instructors
