State,Require that all high schools offer a foundational CS course
Alabama, yes
Alaska,no
Arizona,no
Arkansas, yes
California,no
Colorado,no
Connecticut, yes
Delaware, yes
District of Columbia,no
Florida, yes
Georgia, yes
Hawaii, yes
Idaho, yes
Illinois, yes
Indiana, yes
Iowa, yes
Kansas, yes
Kentucky,no
Louisiana,no
Maine,no
Maryland, yes
Massachusetts,no
Michigan,no
Minnesota,no
Mississippi, yes
Missouri, yes
Montana,no
Nebraska, yes
Nevada, yes
New Hampshire, yes
New Jersey, yes
New Mexico,no
New York,no
North Carolina, yes
North Dakota, yes
Ohio,no
Oklahoma, yes
Oregon,no
Pennsylvania,no
Rhode Island, yes
South Carolina, yes
South Dakota,no
Tennessee, yes
Texas, yes
Utah,no
Vermont,no
Virginia, yes
Washington, yes
West Virginia, yes
Wisconsin,no
Wyoming, yes
