State,% of total in state
Alabama,95%
Alaska,51%
Arizona,36%
Arkansas,99%
California,45%
Colorado,54%
Connecticut,84%
Delaware,40%
District of Columbia,45%
Florida,40%
Georgia,71%
Hawaii,77%
Idaho,38%
Illinois,54%
Indiana,91%
Iowa,84%
Kansas,36%
Kentucky,79%
Louisiana,35%
Maine,66%
Maryland,99%
Massachusetts,83%
Michigan,55%
Minnesota,28%
Mississippi,78%
Missouri,50%
Montana,34%
Nebraska,50%
Nevada,96%
New Hampshire,81%
New Jersey,89%
New Mexico,50%
New York,58%
North Carolina,71%
North Dakota,47%
Ohio,62%
Oklahoma,62%
Oregon,64%
Pennsylvania,68%
Rhode Island,86%
South Carolina,94%
South Dakota,44%
Tennessee,64%
Texas,54%
Utah,77%
Vermont,76%
Virginia,75%
Washington,47%
West Virginia,78%
Wisconsin,56%
Wyoming,63%
