Year,Number of U.S. states,Label
2017,4,Require CS course
2018,15,Require CS course
2019,19,Require CS course
2020,20,Require CS course
2021,23,Require CS course
2022,27,Require CS course
2023,29,Require CS course
2017,2,Adopted state plan
2018,6,Adopted state plan
2019,13,Adopted state plan
2020,18,Adopted state plan
2021,23,Adopted state plan
2022,28,Adopted state plan
2023,30,Adopted state plan
2017,9,Allocate funding
2018,19,Allocate funding
2019,26,Allocate funding
2020,29,Allocate funding
2021,31,Allocate funding
2022,32,Allocate funding
2023,36,Allocate funding
