State,Number of AP computer science exams taken in 2022
Alaska,157
Alabama,2983
Arkansas,1500
Arizona,1881
California,33262
Colorado,3077
Connecticut,3241
District of Columbia,403
Delaware,616
Florida,16248
Georgia,8195
Hawaii,720
Iowa,645
Idaho,514
Illinois,9778
Indiana,2979
Kansas,345
Kentucky,1832
Louisiana,987
Massachusetts,6470
Maryland,7796
Maine,287
Michigan,4919
Minnesota,1811
Missouri,1398
Mississippi,791
Montana,39
North Carolina,6880
North Dakota,100
Nebraska,530
New Hampshire,526
New Jersey,10433
New Mexico,445
Nevada,2476
New York,15189
Ohio,3968
Oklahoma,629
Oregon,891
Pennsylvania,6230
Rhode Island,752
South Carolina,2103
South Dakota,40
Tennessee,2347
Texas,20901
Utah,632
Virginia,6142
Vermont,114
Washington,4755
Wisconsin,2223
West Virginia,326
Wyoming,107
