State,"Number of AP computer science exams taken per 100,000 inhabitants in 2022"
Alaska,21.41
Alabama,58.79
Arkansas,49.24
Arizona,25.54
California,85.2
Colorado,52.68
Connecticut,89.81
District of Columbia,60.06
Delaware,60.42
Florida,73.04
Georgia,75.09
Hawaii,50.02
Iowa,20.16
Idaho,26.51
Illinois,77.71
Indiana,43.6
Kansas,11.75
Kentucky,40.61
Louisiana,21.51
Massachusetts,92.66
Maryland,126.48
Maine,20.66
Michigan,49.03
Minnesota,31.69
Missouri,22.63
Mississippi,26.91
Montana,3.47
North Carolina,64.32
North Dakota,12.84
Nebraska,26.93
New Hampshire,37.6
New Jersey,112.66
New Mexico,21.06
Nevada,77.92
New York,77.21
Ohio,33.74
Oklahoma,15.65
Oregon,21.02
Pennsylvania,48.03
Rhode Island,68.75
South Carolina,39.81
South Dakota,4.4
Tennessee,33.3
Texas,69.6
Utah,18.69
Virginia,70.77
Vermont,17.62
Washington,61.08
Wisconsin,37.74
West Virginia,18.38
Wyoming,18.4
