iso code,Number of AI-related bills passed into law
ALB,0
MNP,0
NGA,0
NIC,0
NZL,0
NLD,0
NPL,0
NRU,0
MOZ,0
MAR,0
MNE,0
MCO,0
NOR,0
MEX,0
MLT,0
MYS,0
MWI,0
LTU,0
LBN,0
SRB,0
KOR,0
ZWE,0
KEN,0
JAM,0
ISR,0
MUS,0
PNG,0
POL,0
ROU,0
ZMB,0
YEM,0
VNM,0
URY,0
UKR,0
UGA,0
TUV,0
TUR,0
TON,0
TGO,0
TZA,0
TJK,0
CHE,0
SWE,0
SUR,0
KNA,0
LKA,0
ZAF,0
SVK,0
SGP,0
SLE,0
SYC,0
SRB,0
SAU,0
WSM,0
IMN,0
IRL,0
KIR,0
IRN,0
BLR,0
FIN,0
FJI,0
FRO,0
EST,0
DNK,0
CZE,0
BMU,0
NLD,0
CUB,0
BTN,0
BOL,0
COL,0
IRQ,0
BRN,0
CHL,0
CYM,0
BFA,0
GEO,0
GMB,0
GIB,0
DZA,0
ASM,0
ATG,0
ARM,0
AUS,0
HKG,0
BRB,0
GTM,0
GUY,0
GUM,0
BHS,0
GRD,0
BHR,0
BGD,0
GRL,0
GRC,0
AZE,0
CMR,0
ARE,1
BRA,1
BGR,1
KGZ,1
LIE,1
LVA,1
CAN,1
LUX,1
MAC,1
HUN,1
CYP,1
ISL,1
PAN,1
IND,1
HRV,1
JPN,2
KAZ,2
AND,3
DEU,3
SVN,3
CHN,3
ARG,3
PHL,5
AUT,6
FRA,7
GBR,8
ITA,10
RUS,10
ESP,11
BEL,12
PRT,15
USA,23
