US state,Number of AI-related bills passed 2016–23
Alabama,3
Alaska,0
Arizona,1
Arkansas,0
California,13
Colorado,3
Connecticut,1
Delaware,0
Florida,2
Georgia,1
Hawaii,1
Idaho,1
Illinois,4
Indiana,0
Iowa,1
Kansas,0
Kentucky,1
Louisiana,2
Maine,0
Maryland,10
Massachusetts,6
Michigan,2
Minnesota,1
Mississippi,2
Missouri,0
Montana,0
Nebraska,0
Nevada,2
New Hampshire,0
New Jersey,2
New Mexico,1
New York,2
North Carolina,3
North Dakota,3
Ohio,2
Oklahoma,0
Oregon,0
Pennsylvania,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,2
Utah,4
Vermont,4
Virginia,6
Washington,7
West Virginia,3
Wisconsin,0
Wyoming,0
