Geographic area,Number of mentions of AI in legislative proceedings
Luxembourg,0
Tanzania,0
Albania,0
Sierra Leone,0
Seychelles,0
San Marino,0
Samoa,0
Northern Mariana Islands,0
Moldova,0
Angola,0
Madagascar,0
Lesotho,0
Gambia,0
El Salvador,0
Cayman Islands,0
Cabo Verde,0
Bhutan,0
Maldives,0
Panama,1
Andorra,1
Barbados,1
Sri Lanka,1
Kosovo,1
Macao SAR,1
Papua New Guinea,2
Pakistan,3
Armenia,3
Ukraine,3
Dominican Republic,3
Gibraltar,3
Philippines,3
Azerbaijan,5
China,5
Malta,6
Israel,7
Zambia,8
Poland,10
Fiji,10
Isle of Man,10
Latvia,11
Slovenia,15
Liechtenstein,16
Czech Republic,16
Bermuda,20
Ecuador,22
South Korea,30
Trinidad and Tobago,30
Kenya,31
Zimbabwe,33
Portugal,38
Romania,43
Switzerland,44
Denmark,47
Uruguay,55
New Zealand,59
South Africa,62
Estonia,74
Mauritius,77
Mexico,82
Malaysia,97
Netherlands,97
Sweden,99
Russia,100
Norway,110
Finland,112
Iceland,116
Brazil,146
Belgium,162
India,167
Greece,184
Germany,226
Singapore,246
Hong Kong,256
France,256
Italy,263
Canada,365
Ireland,514
Japan,554
Australia,673
United States,868
Spain,886
United Kingdom,1490
