Geographic area,Released,In Development,Year
China,✓,,2017
Canada,✓,,2017
Finland,✓,,2017
Mauritius,✓,,2018
Mexico,✓,,2018
India,✓,,2018
Sweden,✓,,2018
France,✓,,2018
Germany,✓,,2018
Denmark,✓,,2019
Malta,✓,,2019
Estonia,✓,,2019
Russian Federation,✓,,2019
Romania,✓,,2019
Qatar,✓,,2019
Portugal,✓,,2019
Uruguay,✓,,2019
Japan,✓,,2019
Netherlands,✓,,2019
Lithuania,✓,,2019
Luxembourg,✓,,2019
Czech Republic,✓,,2019
Cyprus,✓,,2019
Egypt,✓,,2019
Sierra Leone,✓,,2019
United States of America,✓,,2019
Colombia,✓,,2019
Chile,✓,,2019
Argentina,✓,,2019
Singapore,✓,,2019
Slovak Republic,✓,,2019
United Arab Emirates,✓,,2019
Bangladesh,✓,,2019
Croatia,✓,,2020
Latvia,✓,,2020
South Korea,✓,,2020
Norway,✓,,2020
Poland,✓,,2020
Serbia,✓,,2020
Indonesia,✓,,2020
Switzerland,✓,,2020
Hungary,✓,,2020
Greece,✓,,2020
Spain,✓,,2020
Bulgaria,✓,,2020
Saudi Arabia,✓,,2020
Algeria,✓,,2020
Philippines,✓,,2021
Peru,✓,,2021
Turkey,✓,,2021
New Zealand,,✓,2021
Ukraine,✓,,2021
Morocco,,✓,2021
Slovenia,✓,,2021
United Kingdom,✓,,2021
Tunisia,✓,,2021
Vietnam,✓,,2021
Cuba,,✓,2021
Andorra,,✓,2021
Armenia,,✓,2021
Australia,✓,,2021
Austria,✓,,2021
Ireland,✓,,2021
Iceland,,✓,2021
Hong Kong,✓,,2021
Brazil,✓,,2021
Malaysia,✓,,2021
Thailand,✓,,2022
Belgium,✓,,2022
Kenya,,✓,2022
Italy,✓,,2022
Jordan,✓,,2022
Ghana,✓,,2022
Iran,✓,,2022
Antigua and Barbuda,,✓,2023
Jamaica,,✓,2023
Israel,✓,,2023
Pakistan,,✓,2023
Azerbaijan,✓,,2023
Iraq,✓,,2023
Dominican Republic,✓,,2023
Barbados,,✓,2023
Belarus,,✓,2023
Benin,✓,,2023
Costa Rica,,✓,2023
Ethiopia,✓,,2023
Senegal,,✓,2023
Rwanda,✓,,2023
Bahrain,✓,,2023
